,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,jue 01/abr 21,,
,,,,,,,,,,,,,,vie 02/abr 21,,
,,,,,,,,,,,,,,sáb 03/abr 21,,
,,,,,,,,,,,,,,dom 04/abr 21,,
GASTOS,,,,PAGOS,,,,INGRESOS,,,lun 05/abr 21,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,mar 06/abr 21,"3.000,00",varios
lun 19 de abr de 21,"6.600,00",suplementos,,,lun 5 de abr de 21,"3.176,60",préstamo,,,,"815,30",Resto,,mié 07/abr 21,,
lun 19 de abr de 21,"1.600,00",remeras,,,vie 9 de abr de 21,"19.000,00",alquler,,,jue 1 de abr de 21,"59.819,77",sueldo,,jue 08/abr 21,,
,"-6.600,00",(de moto),,,vie 9 de abr de 21,"2.000,00",expensas,,,,,,,vie 09/abr 21,,
,"-1.600,00",(de moto),,,lun 5 de abr de 21,"4.251,00",osde,,,TOTAL,"60.635,07",,,sáb 10/abr 21,"110,00",papas y pan
,,,,,lun 5 de abr de 21,"4.500,00",teléfono,,, ,,,,dom 11/abr 21,"1.160,00",lomo con papas
,,,,,lun 5 de abr de 21,"2.400,00",gym,,,DIARIO,Días restantes,Días totales,,lun 12/abr 21,"250,00",futbol
,,,,,,,,,,275,1,30,,mar 13/abr 21,,
jue 8 de abr de 21,"4.000,00",super,,,lun 5 de abr de 21,"10.802,00",auto,,,,,29,,mié 14/abr 21,,
lun 12 de abr de 21,"1.300,00",pollo y huevos,,,vie 9 de abr de 21,"385,49",gas,,,TOTAL,8250,GASTADO,,jue 15/abr 21,,
vie 23 de abr de 21,"1.000,00",pollo y huevos,,,vie 9 de abr de 21,"1.725,50",internet,,,RESTO,30,283,,vie 16/abr 21,,
,,,,,,,,,,SALDO,30,8220,,sáb 17/abr 21,,
,,,,,,,,,,,,,,dom 18/abr 21,,
,,,,,,,,,,SALDO,,,,lun 19/abr 21,,
,,,,,,,,,,,,,,mar 20/abr 21,,
,,,,,,,,,,TOTAL,"-2.125,52",,,mié 21/abr 21,"1.000,00",varios
,,,,,,,,,,,"-2940,82",,,jue 22/abr 21,,
,,,,,,,,,,,,,,vie 23/abr 21,,
,,,,,,,,,,,,,,sáb 24/abr 21,"600,00",birra
,,,,,,,,,,,,,,dom 25/abr 21,,
,,,,,,,,,,,,,,lun 26/abr 21,"1.000,00",lomo con papas
TOTAL,"6.300,00",,,,TOTAL,"48.240,59",,,,,,,,mar 27/abr 21,"400,00",yerba
,,,,,,,,,,,,,,mié 28/abr 21,"500,00",tabaco y papaz
,,,,,,,,,,,,,,jue 29/abr 21,"200,00",mila pan
,,,,,,,,,,,,,,vie 30/abr 21,,
,,,,,,,,,,,,,,sáb 01/may 21,,
