,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,dom 01/ago 21,"0,00",
,,,,,,,,,,,,,,lun 02/ago 21,"480,00","verdu, futbol"
,,,,,,,,,,,,,,mar 03/ago 21,"150,00","pan abue, costuras"
,,,,,,,,,,,,,,mié 04/ago 21,"1.270,00",lomo birra
GASTOS,,,,PAGOS,,,,INGRESOS,,,jue 05/ago 21,"310,00",huevos pan,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,vie 06/ago 21,"1.100,00","pelu, pastis, bartbijos"
sáb 31 de jul de 21,"275,00",medias,,,sáb 31 de jul de 21,"3.136,34",préstamo,,,,"-2.327,53",Resto,,sáb 07/ago 21,"1.570,00",lomo y birra
,,,,,jue 12 de ago de 21,"21.000,00",alquler,,,sáb 31 de jul de 21,"82.503,94",sueldo,,dom 08/ago 21,"110,00",pan
jue 29 de jul de 21,"6.300,00",suplementos,,,jue 12 de ago de 21,"1.700,00",telefono,,,mar 10 de ago de 21,"19.392,04",comision,,lun 09/ago 21,"1.100,00",lomocordo
,,,,,vie 30 de jul de 21,"2.619,04",osde,,,TOTAL,"99.568,45",,,mar 10/ago 21,"2.260,00",asado
mar 3 de ago de 21,"960,00",pollo,,,mar 17 de ago de 21,"998,84",gas,,, ,,,,mié 11/ago 21,"560,00",viaje y propinas
sáb 14 de ago de 21,"1.480,00",pollo,,,jue 12 de ago de 21,"2.500,00",gym,,,DIARIO,Días restantes,Días totales,,jue 12/ago 21,"1.220,00",lomo birra
vie 27 de ago de 21,"1.400,00",pollo,,,jue 12 de ago de 21,"5.898,00",luz,,,710,1,31,,vie 13/ago 21,"320,00",taxi aeropuerto
vie 6 de ago de 21,"8.600,00",pasajes,,,sáb 31 de jul de 21,"10.771,37",auto,,,,,30,,sáb 14/ago 21,"350,00",frutas y verduras
,,,,,vie 30 de jul de 21,"1.865,75",internet,,,TOTAL,22010,GASTADO,,dom 15/ago 21,"0,00",
jue 12 de ago de 21,"15.370,00",droguis,,,,"750,00",comision(?),,,RESTO,-860,762,,lun 16/ago 21,"1.100,00",lomo
sáb 14 de ago de 21,"950,00",super,,,,,,,,SALDO,-860,22870,,mar 17/ago 21,"100,00",avena
dom 18 de jul de 21,"1.200,00",mechas empre,,,,,,,,,,,,mié 18/ago 21,"400,00",pan abue birra y sche
jue 19 de ago de 21,"3.000,00",emprendimiento,,,,,,,,SALDO,,,,jue 19/ago 21,"2.040,00","verduraas, lomo birra"
lun 23 de ago de 21,"3.600,00",envio bici,,,,,,,,,,,,vie 20/ago 21,"800,00",asado
lun 23 de ago de 21,"900,00",llaves allen,,,,,,,,TOTAL,"6.588,00",,,sáb 21/ago 21,"1.100,00",lomo
mar 24 de ago de 21,"1.000,00",service bici,,,,,,,,,"8915,53",,,dom 22/ago 21,"0,00",
mar 31 de ago de 21,"3.500,00",flete,,,,,,,,,,,,lun 23/ago 21,"1.520,00",joda
,,,,,,,,,,,,,,mar 24/ago 21,"20,00",pan
,,,,,,"-28.163,89",resto moto,,,5088,,,,mié 25/ago 21,"1.980,00","dni, pintasjuan, lomo"
,,,,,,"-1.500,00",efectivo,,,-1500,,,,jue 26/ago 21,"0,00",
TOTAL,"48.535,00",,,,TOTAL,"21.575,45",,,,,,,,vie 27/ago 21,"200,00",tomates
,,,,,,,,,,,,,,sáb 28/ago 21,"1.260,00",lomo
,,,,,,,,,,,,,,dom 29/ago 21,"650,00",futbol y fiambre
,,,,,,,,,,,,,,lun 30/ago 21,"500,00",cerveza y fiambre
,,,,,,,,,,,,,,mar 31/ago 21,"400,00",verduleria
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,5065,,,,,,,,,,,,,,,
