TARJETA,20000,"-139051,036666667",,,,,,,,,,,,GASTO DIARIO,,,INTMP,,,,,
,,,,,,,,,,,,,,jue 01/ago 24,,,jue 01/ago 24,"5,41",GASTOS,"509.005,99",dolar blue,porHora
,,,,,total,0,"-172202,33",,,,,,,vie 02/ago 24,"24.040,00",vierness,vie 02/ago 24,"57,20",PAGOS,"419.198,10",1300,40hsSem
,,,,,,,,,,,,,,sáb 03/ago 24,,,sáb 03/ago 24,,DIARIO,106950,minDolar,5
,,,,,,,,,,INGRESOS,,,dom 04/ago 24,,,dom 04/ago 24,,costoVida,"1.035.154,09",796,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,lun 05/ago 24,"2.000,00",sube,lun 05/ago 24,"146,75",dolar blue,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"82.460,99",Resto,,mar 06/ago 24,"8.800,00",pan,mar 06/ago 24,"8,78",1300,FECHA,MONTO,CONCEPTO
mié 7 de ago de 24,"159.051,04",mastercard,,,mié 7 de ago de 24,"250.368,00",alquler,,,vie 1 de sep de 23,"964.936,20",sueldo,,mié 07/ago 24,,,mié 07/ago 24,"8,04",minDolar,,,varios
mié 7 de ago de 24,"91.637,43",visa,,,jue 1 de ago de 24,"10.203,73",prestamo meja,47,60,,,,,jue 08/ago 24,"2.000,00",sube,jue 08/ago 24,"11,26",796,sáb 3 de ago de 24,"12.507,00",polloPapas
,,,,,jue 1 de ago de 24,"10.523,02",prestamo new,50,72,,,,,vie 09/ago 24,,,vie 09/ago 24,"9,32",porHora,lun 5 de ago de 24,"6.900,00",avenaFrutas
lun 5 de ago de 24,"20.490,53",deudaAgua,,,jue 1 de ago de 24,"11.262,01",prestamo fibra,32,36,TOTAL,"1.047.397,19",,,sáb 10/ago 24,"8.200,00",subeBirras,sáb 10/ago 24,,40hsSem,mié 7 de ago de 24,"12.000,00",polloHuevoPa
sáb 10 de ago de 24,"7.000,00",cuentaRipio,,,jue 1 de ago de 24,"13.983,60",prestamoBsAS,32,36, ,,,,dom 11/ago 24,,,dom 11/ago 24,,5,vie 9 de ago de 24,"2.400,00",panJamon
mar 13 de ago de 24,"7.000,00",reapasadores,,,mar 6 de ago de 24,"10.596,48",telefono,,,DIARIO,Días restantes,Días totales,,lun 12/ago 24,,,lun 12/ago 24,"15,03",,dom 11 de ago de 24,"16.400,00",polloPapasDomPan
mié 14 de ago de 24,"10.000,00",modista,,,,,,,,3450,1,31,,mar 13/ago 24,,,mar 13/ago 24,"2,23",,jue 15 de ago de 24,"15.700,00",polloHuevoPa
lun 19 de ago de 24,"68.000,00",estudios,,,,,,,,,,30,,mié 14/ago 24,"10.280,00",subeBirras,mié 14/ago 24,"2,23",sueldoDolar,jue 15 de ago de 24,"1.650,00",panMayo
vie 23 de ago de 24,"28.000,00",modista,,,lun 5 de ago de 24,"10.994,18",agua,,,TOTAL,106950,GASTADO,,jue 15/ago 24,"5.000,00",peluca,jue 15/ago 24,"3,54",porHora,dom 18 de ago de 24,"4.950,00",yerba
