,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,mar 01/dic 20,,
,,,,,,,,,,,,,,mié 02/dic 20,"220,00",futbol
,,,,,,,,,,,,,,jue 03/dic 20,"826,00",vinos
,,,,,,,,,,,,,,vie 04/dic 20,"940,00",asado
GASTOS,,,,PAGOS,,,,INGRESOS,,,sáb 05/dic 20,"760,00","lomo, papas, birra",,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,dom 06/dic 20,"500,00",helado
mié 16 de dic de 20,"5.800,00",prote,,,mar 1 de dic de 20,"3.213,26",préstamo,,,,"-16.137,51",Resto,,lun 07/dic 20,"160,00",lillos
mar 1 de dic de 20,"97,62",intereses,,,vie 4 de dic de 20,"10.000,00",abuela,,,mar 1 de dic de 20,"57.257,01",sueldo,,mar 08/dic 20,"500,00",frutas
mar 1 de dic de 20,"20,56",intereses,,,jue 10 de dic de 20,"1.300,00",telefono,,,vie 18 de dic de 20,"18.840,79",aguinaldo,,mié 09/dic 20,"300,00",tabaco
mié 2 de dic de 20,"110,92",intereses,,,mar 1 de dic de 20,"3.989,07",osde,,,TOTAL,"59.960,29",,,jue 10/dic 20,"0,00",
lun 14 de dic de 20,"2.000,00",dentista,,,mar 1 de dic de 20,"3.710,65",osde,,, ,,,,vie 11/dic 20,"0,00",
mié 16 de dic de 20,"1.400,00",pre,,,jue 10 de dic de 20,"2.000,00",gym,,,DIARIO,Días restantes,Días totales,,sáb 12/dic 20,"0,00",
mié 16 de dic de 20,"53,59",intereses,,,mar 1 de dic de 20,"10.830,02",auto,,,366,1,31,,dom 13/dic 20,"1.000,00",asado
mié 16 de dic de 20,"11,25",intereses,,,,,,,, ,,30,,lun 14/dic 20,"350,00",frutas
jue 10 de dic de 20,"2.385,69","super, birra",,,,,,,,TOTAL,11346,GASTADO,,mar 15/dic 20,"0,00",
sáb 19/dic 20,"1.078,00",vino diego,,,,,,,,RESTO,680,356,,mié 16/dic 20,"260,00",bici
,,,,,,,,,,SALDO,680,10666,,jue 17/dic 20,"450,00",helado
,,,,,,,,,,,,,,vie 18/dic 20,"0,00",
,,,,,,,,,,SALDO,,,,sáb 19/dic 20,,
,,,,,,,,,,,,,,dom 20/dic 20,"0,00",
,,,,,,,,,,TOTAL,"1.293,66",,,lun 21/dic 20,"200,00",futbol
,,,,,,,,,,,"17.431,17",,,mar 22/dic 20,"220,00",frutas
,,,,,,,,,,,,,,mié 23/dic 20,"750,00","lomo, papas, birra"
,,,,,,,,,,,,,,jue 24/dic 20,"620,00",cena navidad
,,,,,,,,,,,,,,vie 25/dic 20,"0,00",
,,,,,,,,,,,,,,sáb 26/dic 20,"1.000,00","birras, helado"
TOTAL,"12.957,63",,,,TOTAL,"35.043,00",,,,3795,26/12/20,,,dom 27/dic 20,"0,00",
,,,,,,,,,,1295,31/12/20,,,lun 28/dic 20,,
,,,,,,,,,,,,,,mar 29/dic 20,"700,00","lomo, papas, birra"
,,,,,,,,,,,,,,mié 30/dic 20,"610,00","frutas, limpieza"
,,,,,,,,,,,,,,jue 31/dic 20,"300,00",fer
