TARJETA,30000,"8666,3333333333",,,,,,,,,,,,GASTO DIARIO,,,INTMP,,,,,
,,,,,,,,,,,,,,vie 01/dic 23,"1.045,00",mcDe,vie 01/dic 23,"81,84",,,,
,,,,,,,,,,,,,,sáb 02/dic 23,"5.100,00",famacia,sáb 02/dic 23,,,,,
,,,,,,,,,,,,,,dom 03/dic 23,,,dom 03/dic 23,,,,,
,,,,,,,,,,INGRESOS,,,lun 04/dic 23,"1.500,00",tabaco,lun 04/dic 23,"102,09",,,,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,mar 05/dic 23,"2.450,00",subeDesaMC,mar 05/dic 23,"0,85",,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"12.614,61",Resto,,mié 06/dic 23,,,mié 06/dic 23,"19,56",,FECHA,MONTO,CONCEPTO
mié 6 de dic de 23,"21.333,67",tarjeta,,,sáb 9 de dic de 23,"86.000,00",alquler,,,vie 1 de sep de 23,"541.394,17",sueldo,,jue 07/dic 23,"4.850,00",birras,jue 07/dic 23,"27,03",,jue 21 de dic de 23,"7.650,00",milaPan
mié 6 de dic de 23,"136.381,34",visa,,,vie 1 de dic de 23,"10.391,96",prestamo meja,,,,"60.512,16",rendPrest,,vie 08/dic 23,"540,00",filtros,vie 08/dic 23,,,vie 22 de dic de 23,"6.340,00",pollo
mar 5 de dic de 23,"55.000,00",tattoo,,,vie 1 de dic de 23,"11.083,81",prestamo new,,,,"129.034,04",Aguinaldo,,sáb 09/dic 23,,,sáb 09/dic 23,,,sáb 23 de dic de 23,"1.230,00",panToma
mié 27 de dic de 23,"100.000,00",autito,,,vie 1 de dic de 23,"12.364,54",prestamo fibra,,,TOTAL,"743.554,98",,,dom 10/dic 23,,,dom 10/dic 23,"0,47",osde,mar 26 de dic de 23,"3.180,00",verduPan
mar 5 de dic de 23,"15.500,00",sombre,,,lun 11 de dic de 23,"21.471,53",osde,,, ,,,,lun 11/dic 23,"1.500,00",tabaco,lun 11/dic 23,"107,82",,sáb 30 de dic de 23,"6.490,00",polloPan
