,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,1,"0,00",
,,,,,,,,,,,,,,2,"450,00",bici
,,,,,,,,,,,,,,3,"700,00",lomo
,,,,,,,,,,,,,,4,"260,00",ferretería
GASTOS,,,,PAGOS,,,,INGRESOS,,,5,"310,00",bici,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,6,"900,00",asado
,,,,,lun 1 de jun de 20,"3.262,69",préstamo,,,lun 1 de jun de 20,"-11.388,92",Resto,,7,"0,00",
jue 4 de jun de 20,"13.000,00",auto,,,lun 1 de jun de 20,"6.000,00",abuela,,,lun 1 de jun de 20,"41.494,37",sueldo,,8,"0,00",
lun 1 de jun de 20,"357,63",intereses ade,,,lun 1 de jun de 20,"1.500,00",telefono,,,,,,,9,"0,00",
,,,,,lun 1 de jun de 20,"3.989,07",osde,,,TOTAL,"30.105,45",,,10,"0,00",
jue 18 de jun de 20,"900,00",oxido,,,,,,,, ,,,,11,"0,00",
lun 8 de jun de 20,"2.900,00",trx,,,jue 18 de jun de 20,"1.000,00",gym,,,DIARIO,Días restantes,Días totales,,12,"560,00",asado
,,,,,,,,,,200,11,30,,13,"0,00",
,,,,,,,,,,,,19,,14,"790,00",tabaco
,,,,,,,,,,TOTAL,"8082,01",,,15,"900,00",comilona
,,,,,,,,,,RESTO,"195,637272727273",GASTADO,,16,"200,00",pelu
,,,,,,,,,,SALDO,"2152,01",5930,,17,"500,00",nafta ktm
,,,,,,,,,,,,,,18,"0,00",
,,,,,,,,,,SALDO,,,,19,"360,00",
,,,,,,,,,,,,,,20,,
,,,,,,,,,,TOTAL,"-10.885,95",,,21,,
,,,,,,,,,,,,,,22,,
,,,,,,,,,,,,,,23,,
,,,,,,,,,,,,,,24,,
,,,,,,,,,,,"-10885,95",,,25,,
,,,,,,,,,,4000,,,,26,,
TOTAL,"17.157,63",,,,TOTAL,"15.751,76",,,,"-6885,95",,,,27,,
,,,,,,,,,,"2082,01",0,,,28,,
,,,,,,,,,,,,,,29,,
,,,,,,,,,,,,,,30,,
,,,,,,,,,,,,,,31,,
