,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,mié 01/mar 23,,
,,,,,,,,,,,,,,jue 02/mar 23,"2.300,00",birras
,,,,,,,,,,,,,,vie 03/mar 23,,
,,,,,,,,,,,,,,sáb 04/mar 23,"1.550,00",birras
GASTOS,,,,PAGOS,,,,INGRESOS,,,dom 05/mar 23,"600,00",tortitas,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,lun 06/mar 23,"500,00",futbol
jue 9 de mar de 23,"48.084,13",tarjeta,,,,,,,,,"9.254,57",Resto,,mar 07/mar 23,"1.000,00",varios
mié 1 de mar de 23,"20.000,00",ahorromudan,PF,,mié 1 de mar de 23,"10.552,86",prestamo meja,,,mié 1 de mar de 23,"245.361,29",sueldo,,mié 08/mar 23,,
,,,,,mié 1 de mar de 23,"11.154,10",prestamo new,,,,,,,jue 09/mar 23,,
jue 9 de mar de 23,"30.000,00",mehaJuan,,,mié 1 de mar de 23,"12.596,25",prestamo fibra,,,TOTAL,"254.615,86",,,vie 10/mar 23,"3.500,00",lomo con birra
jue 9 de mar de 23,"30.000,00",lucesMeha,,,jue 2 de mar de 23,"14.456,75",osde,,, ,,,,sáb 11/mar 23,,
mar 14 de mar de 23,"2.500,00",señoraLimp,,,,,,,,DIARIO,Días restantes,Días totales,,dom 12/mar 23,,
mar 21 de mar de 23,"2.000,00",señoraLimp,,,vie 17 de feb de 23,"1.409,99",telefono,,,780,1,31,,lun 13/mar 23,,
jue 23 de mar de 23,"1.000,00",modista,,,mar 7 de mar de 23,"6.000,00",gym,,,,,30,,mar 14/mar 23,"300,00",pan
sáb 25 de mar de 23,"2.900,00",laverap,,,,,,,,TOTAL,24180,GASTADO,,mié 15/mar 23,,
,,,,,lun 13 de mar de 23,"1.455,01",telefono,,,RESTO,0,806,,jue 16/mar 23,"1.200,00",birra pan
,,,,,mar 28 de mar de 23,"2.400,00",mercadoPago,,,SALDO,0,24180,,vie 17/mar 23,,
,,,,,,,,,,,,,,sáb 18/mar 23,"500,00",pan
mié 1 de mar de 23,"4.130,00",frutas pollo,,,,,,,,SALDO,,,,dom 19/mar 23,,
mié 8 de mar de 23,"6.678,08",super,,,,,,,,,,,,lun 20/mar 23,"3.600,00",futbol gallgo
sáb 11 de mar de 23,"2.490,00",limpieza frutas,,,,,,,,TOTAL,"12.108,68",,,mar 21/mar 23,,
sáb 11 de mar de 23,"2.120,00",mercadoPago,,,,,,,,,"2854,11000000001",,,mié 22/mar 23,"930,00",pan peluca
sáb 18 de mar de 23,"2.470,00",frutas verdu,,,,,,,,,,,,jue 23/mar 23,"1.500,00",birras
lun 20 de mar de 23,"1.500,00",huevos,,,,,,,,,,,,vie 24/mar 23,"3.000,00",salida
mar 21 de mar de 23,"3.270,00",polloVarios,,,,,,,,,,,,sáb 25/mar 23,,
lun 27 de mar de 23,"570,00",frutas,,,vie 17 de feb de 23,"-1.409,99",telefono,,,,,,,dom 26/mar 23,,
TOTAL,"159.712,21",,,,TOTAL,"58.614,97",,,,,,,,lun 27/mar 23,"600,00",futbol
,,,,,,,,,,,,,,mar 28/mar 23,"1.250,00",birra
,,,,,,,,,,SALDO BANCO,"4545,58",,,mié 29/mar 23,"600,00",pan
,,,,,,,,,,EFECTIVO,7600,,,jue 30/mar 23,"650,00",birra pan
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"12145,58",,,vie 31/mar 23,"600,00",birra,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"36,9033333340321",,,,,
seis/seis,"2.341,25",luces,x,,,,,,,,,,,,,
ocho/doce,"1.631,16",jetsmart,x,,,,,,,,,,,,,
nueve/doce,"970,41",GAFAS,x,,,,,,,,,,,,,
seis/seis,"4.995,00",camisetas,x,,,,,,,,,,,,,
cinco/seis,"2.586,50",starfeet,x,,,,,,,,,,,,,
dos/seis,"1.827,35",maflabici,x,,,,,,,,,,,,,
dos/tres,"3.212,69",masha,x,,,,,,,,,,,,,
mié 18 de ene de 23,"3.708,03",super,x,,,,,,,,,,,,,
lun 23 de ene de 23,"5.294,99",mallaReloj,x,,,,,,,,,,,,,
mié 1 de feb de 23,"4.011,98",super,x,,,,,,,,,,,,,
una/seis,"2.163,33",calzasBIci,x,,,,,,,,,,,,,
lun 6 de feb de 23,"3.354,00",pedidosYa,x,,,,,,,,,,,,,
mié 15 de feb de 23,"5.472,88",super,x,,,,,,,,,,,,,
mar 21 de feb de 23,"2.764,00",pedidosYa,x,,,,,,,,,,,,,
mar 21 de feb de 23,"7.364,45",cajas,x,,,,,,,,,,,,,
dom 26 de feb de 23,"-3.317,89",desc,,,,,,,,,,,,,,
mié 1 de feb de 23,"-296,00",saldoPendiente,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,TOTAL,"0,00",,,,,,,,,,
,,,,,,,,,,,,,,,,
TOTAL,"48.084,13",,,,,,,,,,,,,,,
