TARJETA,30000,"-111541,666666667",,,,,,,,aumento(?),"56987,29",,,GASTO DIARIO,,,INTMP,,,,,
,,,,,gasts,"20.780,00",<-este,,,porcentaje,"8,94949902565332",,,vie 01/mar 24,,,vie 01/mar 24,"3,78",,,,
,,,,,rendimientos,"25.191,87",<-menos,,,,,,,sáb 02/mar 24,,,sáb 02/mar 24,,,28/02/24,21840,gastoAdelantadoFe
,,,,,mp,"257,10",<-menos,,,,,,,dom 03/mar 24,,,dom 03/mar 24,,,,,
,,,,,dif,"-4.668,97",siNegEstamosBien,,,INGRESOS,,,lun 04/mar 24,,,lun 04/mar 24,"6,33",,,,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,mar 05/mar 24,,,mar 05/mar 24,"4,27",,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"926,86",Resto,,mié 06/mar 24,"2.150,00",futbol,mié 06/mar 24,"8,42",,FECHA,MONTO,CONCEPTO
jue 7 de mar de 24,"141.541,67",mastercard,,,mié 6 de mar de 24,"88.000,00",alquler,,,vie 1 de sep de 23,"693.752,43",sueldo,,jue 07/mar 24,"2.000,00",birra,jue 07/mar 24,"42,93",,,,
jue 7 de mar de 24,"235.456,26",visa,,,vie 1 de mar de 24,"10.327,01",prestamo meja,,,,"12.301,07",inversiones,,vie 08/mar 24,"8.120,00",joda,vie 08/mar 24,"15,41",,mar 2 de ene de 24,"2.000,00",paps
mar 19 de mar de 24,"69.000,00",alquilerViene,,,vie 1 de mar de 24,"10.664,96",prestamo new,,,,"89.606,40",plazoFijo,,sáb 09/mar 24,"15.150,00",salida,sáb 09/mar 24,,,mar 2 de ene de 24,"15.280,00",super
mié 6 de mar de 24,"14.000,00",dentista,,,vie 1 de mar de 24,"11.697,77",prestamo fibra,,,TOTAL,"796.586,76",,,dom 10/mar 24,,,dom 10/mar 24,,,dom 3 de mar de 24,"11.258,00",carn
dom 3 de mar de 24,"12.000,00",marimba,,,lun 11 de mar de 24,"47.837,65",osde,,, ,,,,lun 11/mar 24,,,lun 11/mar 24,"102,95",,mar 5 de mar de 24,"2.790,00",fiambre
lun 4 de mar de 24,"5.000,00",direcTVPuma,,,vie 1 de mar de 24,"8.352,30",telefono,,,DIARIO,Días restantes,Días totales,,mar 12/mar 24,,,mar 12/mar 24,"28,57",,mié 6 de mar de 24,"6.755,00",pollo
