,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,500,Tabaco :),,1,"400,00",nafta fz
,,,,,,,,,,,500,barra,,2,"425,00",limpieza
,,,,,,,,,,,,,,3,"530,00",lomo
,,,,,,,,,,,,,,4,"0,00",
GASTOS,,,,PAGOS,,,,INGRESOS,,,5,"0,00",,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,6,"800,00",bici
mié 6 de may de 20,"5.000,00",moto,,,vie 1 de may de 20,"3.270,31",préstamo,,,vie 1 de may de 20,"-10.044,04",Resto,,7,"520,00",nafta ktm
sáb 2 de may de 20,"20.000,00",auto,,,mar 5 de may de 20,"6.500,00",abuela,,,vie 1 de may de 20,"53.148,78",sueldo,,8,"0,00",
jue 7 de may de 20,"5.000,00",marimba,,,,,,,,,"886,24",,,9,"0,00",
vie 1 de may de 20,"279,59",intereses des,,,sáb 2 de may de 20,"4.135,00",osde,,,TOTAL,"43.990,98",,,10,"0,00",
lun 11 de may de 20,"820,00",pistola,,,dom 10 de may de 20,"3.000,00",telefono,,, ,,,,11,"0,00",
lun 11 de may de 20,"350,00",aguapsa,,,,,,,,DIARIO,Días restantes,Días totales,,12,"0,00",
,,,,,,,,,,200,1,31,,13,"500,00",bici pelu
,,,,,,,,,,,,30,,14,"0,00",
,,,,,,,,,,TOTAL,6200,,,15,"100,00",
,,,,,,,,,,RESTO,-825,GASTADO,,16,"490,00",helado
,,,,,,,,,,SALDO,-825,7025,,17,"300,00",nafta ktm
,,,,,,,,,,,,"206,666666666667",,18,"500,00",fernet
,,,,,,,,,,SALDO,,,,19,"0,00",
,,,,,,,,,,,,,,20,"0,00",
,,,,,,,,,,TOTAL,"-11.388,92",,,21,"200,00",pinchadura
,,,,,,,,,,,,,,22,"610,00",fernet y forro
,,,,,,,,,,,,,,23,"0,00",
,,,,,,,,,,,,,,24,"0,00",
,,,,,,,,,,,,,,25,"0,00",
,,,,,,,,,,,,,,26,"500,00",nafta ktm
TOTAL,"31.449,59",,,,TOTAL,"16.905,31",,,,,,,,27,"0,00",
,,,,,,,,,,,,,,28,"500,00",lomo
,,,,,,,,,,"48148,78","6654,41",,,29,"650,00",asado
,,,,,,,,,,,,,,30,"0,00",
,,,,,,,,,,,,,,31,"0,00",
