,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,jue 01/oct 20,"2.000,00",britta
,,,,,,,,,,,,,,vie 02/oct 20,"1.400,00",birras
,,,,,,,,,,,,,,sáb 03/oct 20,"0,00",
,,,,,,,,,,,,,,dom 04/oct 20,"0,00",
GASTOS,,,,PAGOS,,,,INGRESOS,,,lun 05/oct 20,"200,00",bananas,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,mar 06/oct 20,"700,00",cámara bici
vie 2 de oct de 20,"10.000,00",asientos meh,,,jue 1 de oct de 20,"3.230,45",préstamo,,,,"-2.830,00",Resto,,mié 07/oct 20,"300,00",agua PSA
mié 7 de oct de 20,"5.000,00",prote,,,jue 1 de oct de 20,"3.000,00",abuela,,,jue 1 de oct de 20,"48.497,27",sueldo,,jue 08/oct 20,"700,00",tabaco
mié 7 de oct de 20,"2.500,00",ana,,,sáb 3 de oct de 20,"1.500,00",telefono,,,jue 1 de oct de 20,"17,61",Interés,,vie 09/oct 20,"0,00",
,,,,,mié 23 de sep de 20,"3.989,07",osde,,,TOTAL,"45.684,88",,,sáb 10/oct 20,"721,24",
,,,,,vie 25 de sep de 20,"1.367,00",sef/moto,,, ,,,,dom 11/oct 20,"0,00",
,,,,,jue 1 de oct de 20,"2.000,00",gym,,,DIARIO,Días restantes,Días totales,,lun 12/oct 20,"1.049,35",super
,,,,,jue 1 de oct de 20,"10.842,47",auto,,,300,1,31,,mar 13/oct 20,"-500,00",
,,,,,mié 23 de sep de 20,"1.150,00",agua/abu,,,,,30,,mié 14/oct 20,"210,00",futbol
,,,,,,,,,,TOTAL,9300,GASTADO,,jue 15/oct 20,"0,00",
,,,,,,,,,,RESTO,-3052,412,,vie 16/oct 20,,
,,,,,,,,,,SALDO,-3052,12352,,sáb 17/oct 20,"800,00",asado
,,,,,,,,,,,,,,dom 18/oct 20,,
,,,,,,,,,,SALDO,,,,lun 19/oct 20,,
,,,,,,,,,,,,,,mar 20/oct 20,"500,00",lomo
,,,,,,,,,,TOTAL,"-11.245,77",,,mié 21/oct 20,"250,00",peluqueria
,,,,,,,,,,,"-8415,77000000001",,,jue 22/oct 20,,
,,,,,,,,,,,,,,vie 23/oct 20,"750,00",britta
,,,,,,,,,,,,,,sáb 24/oct 20,"780,00",tabaco
,,,,,,,,,,,,,,dom 25/oct 20,"260,00",birras
,,,,,,,,,,,,,,lun 26/oct 20,"1.251,07",super
TOTAL,"17.500,00",,,,TOTAL,"27.078,99",,,,,,,,mar 27/oct 20,"100,00",bici
,,,,,,,,,,,,,,mié 28/oct 20,"200,00",futbol
,,,,,,,,,,,,,,jue 29/oct 20,"0,00",
,,,,,,,,,,,,,,vie 30/oct 20,"0,00",
,,,,,,,,,,,,,,sáb 31/oct 20,"680,00",lomo y birra
