,,,,,,,,,,,,,,GASTO DIARIO,,,INTMP,
,,,,,,,,,,,,,,dom 01/oct 23,"1.500,00",tabaco,dom 01/oct 23,
,,,,,,,,,,,,,,lun 02/oct 23,"500,00",sube,lun 02/oct 23,"2,12"
,,,,,,,,,,,,,,mar 03/oct 23,"5.300,00",filtrosLillos,mar 03/oct 23,
,,,,,,,,,,INGRESOS,,,mié 04/oct 23,"5.410,00",tragosFriends,mié 04/oct 23,"0,01",
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,jue 05/oct 23,"1.100,00",tabaco,jue 05/oct 23,"0,01",,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"3.241,18",Resto,,vie 06/oct 23,,,vie 06/oct 23,"0,01"
mié 4 de oct de 23,"38.474,21",mastercard,,,mar 10 de oct de 23,"84.500,00",alquler,,,sáb 1 de jul de 23,"410.587,20",sueldo,,sáb 07/oct 23,"2.360,00",birras,sáb 07/oct 23,
mié 4 de oct de 23,"90.422,12",visa,,,sáb 30 de sep de 23,"10.431,86",prestamo meja,,,,"10.000,00",adelantoMp,,dom 08/oct 23,"600,00",pan,dom 08/oct 23,
sáb 30 de sep de 23,"26.367,47",personal,,,sáb 30 de sep de 23,"11.101,65",prestamo new,,,,,,,lun 09/oct 23,"670,00",futbol,lun 09/oct 23,"0,02"
vie 6 de oct de 23,"15.500,00",sombre,,,sáb 30 de sep de 23,"12.427,61",prestamo fibra,,,TOTAL,"423.828,38",,,mar 10/oct 23,,,mar 10/oct 23,"26,46"
sáb 28 de oct de 23,"6.270,00",polloVerdu,,,lun 9 de oct de 23,"19.932,31",osde,,, ,,,,mié 11/oct 23,"1.100,00",tabaco,mié 11/oct 23,"0,01"
mié 4 de oct de 23,"4.700,00",panorámica,,,sáb 30 de sep de 23,"3.154,85",telefono,,,DIARIO,Días restantes,Días totales,,jue 12/oct 23,,,jue 12/oct 23,"88,95"
lun 9 de oct de 23,"10.000,00",marimba,,,lun 2 de oct de 23,"9.000,00",gym,,,1700,5,31,,vie 13/oct 23,,,vie 13/oct 23,"0,00"
mié 18 de oct de 23,"1.540,00",bañoFerre,,,sáb 30 de sep de 23,"15.607,53",prestamoBsAS,,,,,26,,sáb 14/oct 23,,,sáb 14/oct 23,"0,00"
jue 19 de oct de 23,"2.000,00",adelantoTattoo,,,dom 22 de oct de 23,"2.030,92",agua,,,TOTAL,52700,GASTADO,,dom 15/oct 23,"500,00",sube,dom 15/oct 23,"0,00"
