,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,mar 01/sep 20,,
,,,,,,,,,,,,,,mié 02/sep 20,"40,00",tortitas
,,,,,,,,,,,,,,jue 03/sep 20,,
,,,,,,,,,,,,,,vie 04/sep 20,"1.300,00",britta
GASTOS,,,,PAGOS,,,,INGRESOS,,,sáb 05/sep 20,"1.220,00",medias,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,dom 06/sep 20,"1.000,00",tabaco
mar 15 de sep de 20,"3.600,00",bici,,,mar 1 de sep de 20,"3.238,77",préstamo,,,mar 1 de sep de 20,"8.525,06",Resto,,lun 07/sep 20,"1.000,00",super
jue 17 de sep de 20,"10.000,00",tatau,,,jue 3 de sep de 20,"6.000,00",abuela,,,mar 1 de sep de 20,"47.452,00",sueldo,,mar 08/sep 20,"-160,00",lomo+abu
mié 2 de sep de 20,"13.000,00",mari mori,,,sáb 5 de sep de 20,"2.000,00",teléfono,,,,,,,mié 09/sep 20,"900,00",candado
lun 7 de sep de 20,"5.600,00",lentes rusty,,,jue 27 de ago de 20,"3.989,07",osde,,,TOTAL,"55.977,06",,,jue 10/sep 20,,
mar 1 de sep de 20,"2.000,00",manguera ab,,,mar 25 de ago de 20,"1.367,00",sef/moto,,, ,,,,vie 11/sep 20,"750,00",vacunas
jue 3 de sep de 20,"-8.000,00",Juanma,,,mié 2 de sep de 20,"2.000,00",gym,,,DIARIO,Días restantes,Días totales,,sáb 12/sep 20,"362,22",Varios
sáb 12 de sep de 20,"1.000,00",Limpieza,,,,,,,,375,5,30,,dom 13/sep 20,,
,"1.770,00",misc,,,,,,,,,,25,,lun 14/sep 20,,
,,,,,,,,,,TOTAL,11250,GASTADO,,mar 15/sep 20,,
,,,,,,,,,,RESTO,2,450,,mié 16/sep 20,"260,00",birras
,,,,,,,,,,SALDO,8,11242,,jue 17/sep 20,,
,,,,,,,,,,,,,,vie 18/sep 20,"1.000,00",inflador
,,,,,,,,,,SALDO,,,,sáb 19/sep 20,"900,00",tabaco/nafta fz
,,,,,,,,,,,,,,dom 20/sep 20,"200,00",birras
,,,,,,,,,,TOTAL,"-2.830,00",,,lun 21/sep 20,,
,,,,,,,,,,,"-11355,06",,,mar 22/sep 20,"620,00",lomo
,,,,,,,,,,,,,,mié 23/sep 20,"420,00",reloj y pelu
,,,,,,,,,,,,,,jue 24/sep 20,"430,00",limpieza
,,,,,,,,,,,,,,vie 25/sep 20,,
,,,,,,,,,,,,,,sáb 26/sep 20,,
TOTAL,"28.970,00",,,,TOTAL,"18.594,84",,,,,,,,dom 27/sep 20,,
,,,,,,,,,,,,,,lun 28/sep 20,,
,,,,,,,,,,,,,,mar 29/sep 20,"1.000,00",protector solar
,,,,,,,,,,,,,,mié 30/sep 20,,
,,,,,Bici,11520,,,,,,,,,,
