GASTOS,,,,PAGOS,,,,INGRESOS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO
mié 1 de abr de 20,"4.000,00",pistola,,,vie 27 de mar de 20,"7.772,08",adelanto,,,lun 30 de mar de 20,"48.497,27",sueldo
mié 1 de abr de 20,"3.500,00",fono marisa,,,mié 1 de abr de 20,"4.988,21",osde,,,,,
mié 1 de abr de 20,"500,00",nafta,,,mié 1 de abr de 20,"4.064,04",osde,,,,,
vie 3 de abr de 20,"800,00",nafta,,,mié 1 de abr de 20,"1.024,54",agua,,,TOTAL,"48.497,27",
jue 2 de abr de 20,"660,00",,,,lun 6 de abr de 20,"3.000,00",telefono,,, ,,
vie 3 de abr de 20,"880,00",,,,lun 6 de abr de 20,"3.277,80",prestamo,,,DIARIO,,
lun 6 de abr de 20,"660,00",,,,jue 2 de abr de 20,"6.000,00",abuela,,,"-1.674,01",24,30
mar 7 de abr de 20,"1.624,00",super,,,,,,,,,,
mié 15 de abr de 20,"1.300,00",marimba,,,,,,,,,,
dom 12 de abr de 20,"2.200,00",remera,,,,,,,,,,
sáb 11 de abr de 20,"3.000,00",prote,,,,,,,,,,
mié 8 de abr de 20,"1.500,00",compu,,,,,,,,,,
,"2.000,00",nafta,,,,,,,,SALDO,,
,"1.790,64",varios,,,,,,,,,,
,"4.000,00",barra y varios,,,,,,,,TOTAL,"-10044,04",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TOTAL,"28.414,64",,,,TOTAL,"30.126,67",,,,,,
