,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,lun 01/ago 22,"400,00",futbol pan
,62143,"26537,54",,,,,,,,,,,,mar 02/ago 22,"0,00",
,,,,,,,,,,,,,,mié 03/ago 22,"1.000,00",tabaco pelu
,,,,,,,,,,,,,,jue 04/ago 22,"1.500,00",nafta
GASTOS,,,,PAGOS,,,,INGRESOS,,,vie 05/ago 22,"600,00",boliche,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,sáb 06/ago 22,"0,00",
TARJETA,"35.605,46",tarjeta,,,lun 8 de ago de 22,"31.800,00",alquler,,,,"913,79",Resto,,dom 07/ago 22,"100,00",
lun 1 de ago de 22,"10.213,81",adelanto,,,,,,,,lun 1 de ago de 22,"206.800,87",sueldo,,lun 08/ago 22,"450,00",pan futbol
sáb 6 de ago de 22,"10.160,00",bolo,,,sáb 30 de jul de 22,"10.649,30",prestamo meja,,,,"10.156,57",,,mar 09/ago 22,"350,00",tabaco
sáb 6 de ago de 22,"2.603,05",soportenotebook,,,madre,"5.612,75",bici,,,TOTAL,"217.871,23",,,mié 10/ago 22,"400,00",birra pan
mié 17 de ago de 22,"300,00",ferreteria,,,,,,,, ,,,,jue 11/ago 22,"800,00",nafta
dom 21 de ago de 22,"-15.000,00",préstamo,,,madre,"2.200,00",botines ta 5,,,DIARIO,Días restantes,Días totales,,vie 12/ago 22,"600,00",birras
lun 22 de ago de 22,"1.355,60",nafta,,,,,,,,460,0,31,,sáb 13/ago 22,"300,00",coquita
dom 21 de ago de 22,"-750,00",regalo fede(),,,madre,"2.343,82",telefono,,,,,31,,dom 14/ago 22,"0,00",
mar 23 de ago de 22,"6.000,00",base cargadora,,,sáb 30 de jul de 22,"7.619,17",osde,,,TOTAL,14260,GASTADO,,lun 15/ago 22,"740,00",ferreteria
lun 1 de ago de 22,"5.310,00",despedida,,,lun 1 de ago de 22,"3.500,00",gym,,,RESTO,95,443,,mar 16/ago 22,"820,00",lillos futbol pan
lun 8 de ago de 22,"35.000,00",auto,,,vie 12 de ago de 22,"3.601,06",luz,,,SALDO,95,14165,,mié 17/ago 22,"300,00",ferreteria
jue 25 de ago de 22,"800,00",aceite,,,jue 4 de ago de 22,"1.000,00",internet,,,,,,,jue 18/ago 22,"190,00",pan
lun 1 de ago de 22,"840,00",frutas,,,,,comision(?),,,SALDO,,,,vie 19/ago 22,"535,00",tapon
jue 4 de ago de 22,"1.780,00",pollo pan,,,sáb 30 de jul de 22,"11.193,95",prestamo new,,,,,,,sáb 20/ago 22,"0,00",
lun 8 de ago de 22,"160,00",papas,,,mié 17 de ago de 22,"1.966,56",gas,,,TOTAL,"14.457,85",,,dom 21/ago 22,"0,00",
sáb 13 de ago de 22,"2.300,00",pollo pan,,,mié 31 de ago de 22,"1.260,22",nafta,,,,"13544,06",,,lun 22/ago 22,"700,00",futbol birra
lun 15 de ago de 22,"1.613,00",verdu,,,lun 29 de ago de 22,"4.290,63",super,,,,,,,mar 23/ago 22,"150,00",pan
mar 23 de ago de 22,"2.090,00",pollo,,,mar 30 de ago de 22,"-3.600,00",asado,,,,,,,mié 24/ago 22,"1.880,00",lomo birra
jue 25 de ago de 22,"1.300,00",huevos verdu,,,mar 9 de ago de 22,"-2.000,00",marquitos,,,,,,,jue 25/ago 22,"450,00",futbol
lun 29 de ago de 22,"4.000,00","llaves, escape",,,mié 31 de ago de 22,"2.130,00",llopo,,,,,,,vie 26/ago 22,"100,00",?
TOTAL,"105.680,92",,,,TOTAL,"83.567,46",,,,,,,,sáb 27/ago 22,"300,00",tomates pan
,,,,,,,,,,,,,,dom 28/ago 22,"300,00",
,"23063,86",,,,madre,"10156,57",,,,SALDO BANCO,7808,,,lun 29/ago 22,"450,00",futbol
,,"12907,29",,,,,,,,EFECTIVO,"6649,78",,,mar 30/ago 22,"100,00",ferreteria
,,,,,,,,,,TOTAL,"14457,78",,,mié 31/ago 22,"650,00",tabaco
,,,,,,,,,DIF,DINERO-CALCULO,"-0,069999999948777",,,,,
GASTOS TARJETA,,,,,,,,,,,,,,,,
FECHA,MONTO,CONCEPTO,,,,,,,,,,,,,,
JUNIO,"2.000,00",nafta,,,,,,,,,,,,,,
JUNIO,"3.013,99",varios,,,,,,,,,,,,,,
JUNIO,"4.500,00",alonso,,,,,,,,,,,,,,
JUNIO,"3.148,00",pedidosya,,,,,,,,,,,,,,
mié 6 de jul de 22,"1.380,00",pedidosya,,,,,,,,,,,,,,
sáb 9 de jul de 22,"1.234,50",pedidosya,,,,,,,,,,,,,,
lun 18 de jul de 22,"1.500,00",nafta,,,,,,,,,,,,,,
mar 19 de jul de 22,"1.780,00",pedidosya,,,,,,,,,,,,,,
jue 21 de jul de 22,"1.130,00",la cañada,,,,,,,,,,,,,,
mié 3 de ago de 22,"45.771,00",dolares,,,,,,,,,,,,,,
mié 3 de ago de 22,"-26.014,00",vicky,,,,,,,,,,,,,,
dom 21 de ago de 22,"-10.000,00",vicky,,,,,,,,,,,,,,
dom 28 de ago de 22,"-9.800,00",vicky,,,,,,,,,,,,,,
tres/nueve,"3.324,00",calefactor,,,,,,,,,,,,,,
uno/doce,"1.631,16",jetsmart,,,,,,,,,,,,,,
dos/seis,"985,00",chromecast,,,,,,,,,,,,,,
uno/seis,"1.527,40",boxers,,,,,,,,,,,,,,
uno/tres,"3.777,00",joggineta,,,,,,,,,,,,,,
dos/doce,"970,41",GAFAS,,,,,,,,,,,,,,
dos/seis,"3.747,00",PARLANTE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
TOTAL,"35.605,46",,,,,,,,,,,,,,,
