TARJETA,30000,26240,,,,,,,,,,,,GASTO DIARIO,,,
,,,,,,,,,,,,,,mar 01/ago 23,"5.400,00",tabacoVarios,
,,,,,,,,,,,,,,mié 02/ago 23,"640,00",futbol,
,ahorro,50000,,,,,,,,,,,,jue 03/ago 23,"2.200,00",farmacia,
,,,,,,,,,,INGRESOS,,,vie 04/ago 23,,,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,sáb 05/ago 23,"1.690,00",birras,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"73.609,23",Resto,,dom 06/ago 23,,,
lun 7 de ago de 23,"3.760,00",mastercard,,,mié 9 de ago de 23,"78.000,00",alquler,,,sáb 1 de jul de 23,"413.390,60",sueldo,,lun 07/ago 23,"500,00",sube,
mar 1 de ago de 23,"100.000,00",plazoFijo,,,mar 1 de ago de 23,"10.469,27",prestamo meja,,,,,,,mar 08/ago 23,"1.500,00",telo,
mar 1 de ago de 23,"8.300,00",suplementos,,,mar 1 de ago de 23,"11.118,13",prestamo new,,,,,,,mié 09/ago 23,,,
jue 3 de ago de 23,"13.800,00",supleDuo,,,mar 1 de ago de 23,"12.483,40",prestamo fibra,,,TOTAL,"486.999,83",,,jue 10/ago 23,,,
vie 11 de ago de 23,"26.250,00",bici,,,dom 30 de jul de 23,"11.637,71",osde,,, ,,,,vie 11/ago 23,"1.000,00",sube,
sáb 12 de ago de 23,"9.075,00",rifaLupita,,,dom 30 de jul de 23,"2.343,82",telefono,,,DIARIO,Días restantes,Días totales,,sáb 12/ago 23,,,
sáb 12 de ago de 23,"4.489,97",conversorMon,,,mar 15 de ago de 23,"7.000,00",gym,,,1200,7,31,,dom 13/ago 23,,,
jue 17 de ago de 23,"83.000,00",mehariPuertas,,,mar 1 de ago de 23,"15.633,41",prestamoBsAS,,,,,24,,lun 14/ago 23,,,
mar 22 de ago de 23,"4.179,00",carniVerdu,,,,"0,00",agua,,,TOTAL,37200,GASTADO,,mar 15/ago 23,"3.500,00",birras,
lun 21 de ago de 23,"3.830,00",verduleria,,,mar 1 de ago de 23,"764,93",edesur,,,RESTO,-1577,2010,,mié 16/ago 23,,,
vie 18 de ago de 23,"4.065,00",super,,,jue 3 de ago de 23,"3.849,99",internet,,,SALDO,-11038,48238,,jue 17/ago 23,,,
mié 16 de ago de 23,"3.130,00",carniLimp,,,,,,,,,,,,vie 18/ago 23,,,
mar 1 de ago de 23,"4.806,00",carniVerdu,,,,,,,,SALDO,,,,sáb 19/ago 23,"1.000,00",bondiola,
mié 2 de ago de 23,"1.920,00",patas,,,,,,,,,,,,dom 20/ago 23,,,
jue 3 de ago de 23,"1.832,00",verduPan,,,,"-5.896,55",sobrante,,,TOTAL,"49.165,29","9165,29",,lun 21/ago 23,"2.150,00",tabacoVarios,
mié 9 de ago de 23,"4.460,00",verduPan,,,mié 23 de ago de 23,"19.596,00",verduCarniSuper,,,,"-364225,31",,,mar 22/ago 23,,,
vie 11 de ago de 23,"6.485,00",limpPatas,,,mar 8 de ago de 23,"-45.000,00",eze,,,,,,,mié 23/ago 23,,,
vie 11 de ago de 23,"3.680,00",verduleria,,,(?),"-10.884,01",intMp,,,,,,,jue 24/ago 23,,,cierreTarjeta
dom 13 de ago de 23,"3.100,00",asado,,,dom 30 de jul de 23,"-11.637,71",mesAnterior,,,,,,,vie 25/ago 23,,,
mar 15 de ago de 23,"2.300,00",verduleria,,,dom 30 de jul de 23,"-2.343,82",mesAnterior,,,,,,,sáb 26/ago 23,"5.579,00",verduCarni,
TOTAL,"292.461,97",,,,TOTAL,"97.134,57",,,,,,,,dom 27/ago 23,"1.890,00",tabacoVarios,
,,,,,,,,,,saldoMercadoPago,"49.165,28",,,lun 28/ago 23,"3.140,00",panVarios,
,,,,,,,,,,saldoBanco,"0,85",,,mar 29/ago 23,"3.000,00",verduVarios,
,,,,,,,,,,efectivo,30,,,mié 30/ago 23,"2.840,00",fiambres,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"49196,13",,,jue 31/ago 23,"5.240,00",verduCarni,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"30,8400000000547",,,,,,
seis/seis,"2.163,33",calzasBIci,,,sáb 5 de ago de 23,"6.969,00",pedidosYa,,,,,,,,,,
cinco/doce,"3.541,67",bateriaAuto,,,,,,,,,,,,,,,
cuatro/seis,"9.557,33",camisaCorba,,,,,,,,,,,,,,,
tres/tres,"1.999,67",pavaElec,,,,,,,,,,,,,,,
tres/tres,"11.396,33",zapasMedi,,,,,,,,,,,,,,,
dos/seis,"4.509,15",bañoVarios,,,,,,,,,,,,,,,
dos/seis,"4.454,85",miBand7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TOTAL,"37.622,33",,,,TOTAL,"6.969,00",,,,,,,,,,,
