TARJETA,,0,,,eze(?),154320,,,,,"-196120,69",,,GASTO DIARIO,,,INTMP,,,,,,,
ALQUILER EZE,300000,,,,,,,,,,,,,vie 01/ago 25,,,vie 01/ago 25,"9,14",GASTOS,"952.544,64",dolar blue,porHora,,
auto,,,,,total,154320,-72840,,,,,,,sáb 02/ago 25,,,sáb 02/ago 25,,PAGOS,"491.560,69",1125,40hsSem,,
trading,,,,,,,454320,,,,,,,dom 03/ago 25,,,dom 03/ago 25,,DIARIO,228470,minDolar,9,,
,,,,,,--->>>,154320,,,INGRESOS,,,lun 04/ago 25,,,lun 04/ago 25,"38,24",costoVida,"1.672.575,33",1487,,,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,mar 05/ago 25,"5.500,00",birras,mar 05/ago 25,"9,13",VERDADERO,GASTOS EXTRAS,,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"478.657,67",Resto,,mié 06/ago 25,"2.000,00",birras,mié 06/ago 25,"5,09","952.544,64",FECHA,MONTO,CONCEPTO,,
,"0,00",mastercard,,,jue 21 de ago de 25,"380.000,00",alquler,,,sáb 1 de mar de 25,"930.631,15",sueldo,,jue 07/ago 25,,,jue 07/ago 25,"5,29","491.560,69",,,,,
mié 6 de ago de 25,"312.010,09",visa,,,jue 21 de ago de 25,"10.620,00",agua,,,,"10.338,76",inversiones,,vie 08/ago 25,"21.914,95",festejo,vie 08/ago 25,"4,96",228470,vie 1 de ago de 25,"29.713,28",super,,
vie 1 de ago de 25,"45.499,39",notebook(8/12),,,jue 21 de ago de 25,"8.700,00",edesur,,,,,sueldoExtra,,sáb 09/ago 25,,,sáb 09/ago 25,,total,vie 1 de ago de 25,"75.000,00",uniforme(1/2),,
vie 1 de ago de 25,"17.014,00",tabaco(6/6),,,jue 21 de ago de 25,"25.000,00",internet,,,TOTAL,"1.419.627,58",,,dom 10/ago 25,,,dom 10/ago 25,,1672575,lun 4 de ago de 25,"4.900,00",maquinita,,
vie 1 de ago de 25,"26.780,00",animalPak(3/6),,,jue 21 de ago de 25,"30.000,00",gas,,, ,,,,lun 11/ago 25,,,lun 11/ago 25,"114,53",sueldoDolar,mié 6 de ago de 25,"30.000,00",comidasMaxi,,
vie 1 de ago de 25,"29.407,88",variosMoto(2/6),,,mié 6 de ago de 25,"22.750,04",telefono,,,DIARIO,Días restantes,Días totales,,mar 12/ago 25,"21.000,00",mila,mar 12/ago 25,"22,03",1487,vie 8 de ago de 25,"24.400,00",lavanCafe,,
lun 11 de ago de 25,"90.900,00",vaper,,,,,,,,7370,1,31,,mié 13/ago 25,,,mié 13/ago 25,"0,55",,sáb 9 de ago de 25,"55.000,00",festejoJoda,,
lun 18 de ago de 25,"11.130,00",parte,,,,,,,,,,30,,jue 14/ago 25,"19.400,00",milas,jue 14/ago 25,"15,07",sueldoDolar,mar 12 de ago de 25,"10.300,00",varios,,
mié 20 de ago de 25,"3.000,00",pastis,,,vie 1 de ago de 25,"9.812,07",prestamoMeja,58,72,TOTAL,228470,GASTADO,,vie 15/ago 25,"29.400,00",peluMila,vie 15/ago 25,,porHora,mié 13 de ago de 25,"19.135,00",pollo,,
vie 22 de ago de 25,"11.130,00",parte,,,vie 1 de ago de 25,"158.998,58",prestamoMoto,2,60,RESTO,12,7615,,sáb 16/ago 25,"8.002,00",nafta,sáb 16/ago 25,,"5,00",jue 14 de ago de 25,"600,00",birras,,
sáb 23 de ago de 25,"11.130,00",parte,,,,,,,,SALDO,12,228458,,dom 17/ago 25,"42.800,00",comida,dom 17/ago 25,,mes,sáb 16 de ago de 25,"15.595,00",verduPollo,,
mié 27 de ago de 25,"11.130,00",parte,,,,,,,,,,,,lun 18/ago 25,,,lun 18/ago 25,"10,22",800,mié 20 de ago de 25,"12.100,00",yerbaPollo,,
sáb 30 de ago de 25,"60.900,00",visita,,,,,,,,SALDO,,,,mar 19/ago 25,"1.500,00",cafe,mar 19/ago 25,"5,69",,lun 25 de ago de 25,"17.800,00",verduPollo,,
dom 31 de ago de 25,"9.200,00",parte,,,,,,,,,,,,mié 20/ago 25,"2.000,00",sube,mié 20/ago 25,"3,63",,vie 29 de ago de 25,"18.770,00",palSabado,,
,,,,,,,,,,TOTAL,"235.596,35","195596,35",,jue 21/ago 25,"2.100,00",pan,jue 21/ago 25,"18,09",diferencia,,,,,
,,,,,,,,,,,"-695034,797806666",,,vie 22/ago 25,"11.900,00",mila,vie 22/ago 25,"28,09",dolar,,,,,
,,,,,,,,,,,,,,sáb 23/ago 25,"21.300,00",mila,sáb 23/ago 25,,-687,,,,,
,,,,,jue 21 de ago de 25,"-227.160,00",eze,,,,,,,dom 24/ago 25,"9.000,00",nafta,dom 24/ago 25,,pesos,,,,,
,,,,,,,,,,,,,,lun 25/ago 25,"630,00",feca,lun 25/ago 25,"5,93",-772575,,,,,
,,paracaidas,,,jue 21 de ago de 25,"72.840,00",retro,,,rendimientosReservas,"10338,76",,,mar 26/ago 25,"1.500,00",pan,mar 26/ago 25,"15,73",,,,,,
