,,,,,eze(?),174320,,,,comision,250000,aprox,,GASTO DIARIO,,,INTMP,,,,,,
ALQUILER EZE,200000,,,,,,,,,,,,,dom 01/dic 24,"4.500,00",pelucaPromMod,dom 01/dic 24,"2,89",GASTOS,"763.943,24",dolar blue,porHora,
,,,,,total,174320,-12840,,,aumento,9500,,,lun 02/dic 24,,,lun 02/dic 24,"4,33",PAGOS,"458.807,36",1250,40hsSem,
trading,,,,,,,374320,,,,,,,mar 03/dic 24,"5.085,00",cafèConFeli,mar 03/dic 24,"63,69",DIARIO,117800,minDolar,7,
,,,,,,--->>>,174320,,,INGRESOS,,,mié 04/dic 24,"7.000,00",desayuno,mié 04/dic 24,"9,51",costoVida,"1.340.550,60",1072,,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,jue 05/dic 24,"4.450,00",tabaco,jue 05/dic 24,"13,93",VERDADERO,GASTOS EXTRAS,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"4.149,35",Resto,,vie 06/dic 24,"3.000,00",reloj,vie 06/dic 24,"6,92","763.943,24",FECHA,MONTO,CONCEPTO,
mié 8 de may de 24,"32.180,00",mastercard,,,mar 10 de dic de 24,"300.000,00",alquler,,,mar 7 de may de 24,"1.004.662,27",sueldo,,sáb 07/dic 24,"13.500,10",comilonaMaxi,sáb 07/dic 24,,"284.487,36",,,,
mié 8 de may de 24,"133.679,67",visa,,,dom 1 de dic de 24,"10.089,68",prestamo meja,58,72,,"226.514,26",inversiones,,dom 08/dic 24,,,dom 08/dic 24,,117800,sáb 30 de nov de 24,"14.750,00",jamonPnaBirras,
,,,,,dom 1 de dic de 24,"10.387,62",prestamo new,54,72,,"285.236,33",aguinaldo,,lun 09/dic 24,"5.800,00",pelu,lun 09/dic 24,"19,28",total,dom 1 de dic de 24,"9.000,00",burguers,
-----,,,,,dom 1 de dic de 24,"10.803,08",prestamo fibra,36,36,TOTAL,"1.520.562,21",,,mar 10/dic 24,,,mar 10/dic 24,"11,19",1166231,lun 2 de dic de 24,"4.500,00",milaAeroAep,
dom 1 de dic de 24,"7.128,92",maReProCel,,,dom 1 de dic de 24,"13.258,68",prestamoBsAS,36,36, ,,,,mié 11/dic 24,,,mié 11/dic 24,"7,39",sueldoDolar,mar 3 de dic de 24,"5.900,00",huevosAvena,
dom 1 de dic de 24,"45.499,39",notebook(1/12),,,sáb 7 de dic de 24,"14.195,68",telefono,,,DIARIO,Días restantes,Días totales,,jue 12/dic 24,,,jue 12/dic 24,"9,13",933,mar 3 de dic de 24,"24.322,00",super,
,,,,,mar 3 de dic de 24,"25.000,50",gym,,,3800,3,31,,vie 13/dic 24,,,vie 13/dic 24,"16,05",,mié 4 de dic de 24,"-12.000,00",devIsraChaco,super
mié 4 de dic de 24,"6.000,00",strapGym,,,,,,,,,,28,,sáb 14/dic 24,"16.650,00",birras,sáb 14/dic 24,,sueldoDolar,mié 4 de dic de 24,"1.900,00",pan,
vie 6 de dic de 24,"17.800,00",mallaPiluso,,,mar 10 de dic de 24,"10.620,00",agua,,,TOTAL,117800,GASTADO,,dom 15/dic 24,"6.000,02",lomoPapas,dom 15/dic 24,,porHora,vie 6 de dic de 24,"-6.000,00",devYaca,super
vie 6 de dic de 24,"6.000,00",lavandería,,,mar 10 de dic de 24,"8.700,00",edesur,,,RESTO,4172,3760,,lun 16/dic 24,"3.220,00",cafe,lun 16/dic 24,"32,60","5,50",jue 12 de dic de 24,"3.421,00",super,
mar 10 de dic de 24,"6.000,00",lavandería,,,mar 10 de dic de 24,"25.000,00",internet,,,SALDO,12516,105284,,mar 17/dic 24,"2.400,00",cocaTerreno,mar 17/dic 24,"10,65",mes,mié 18 de dic de 24,"12.563,59",super,
mar 10 de dic de 24,"13.066,17",farmacia,,,,"1.500,00",comision(?),,,,,,,mié 18/dic 24,,,mié 18/dic 24,"6,00",880,vie 20 de dic de 24,"25.800,00",mediasLBirras,
jue 12 de dic de 24,"33.800,00",prote,,,,,,,,SALDO,,,,jue 19/dic 24,"5.530,00",filtrosCafe,cierreTarjeta,"99,27",,sáb 21 de dic de 24,"4.300,00",sangucheMila,
vie 13 de dic de 24,"6.000,00",lavandería,,,mar 10 de dic de 24,"30.000,00",gas,,,,,,,vie 20/dic 24,,,vie 20/dic 24,"5,65",,dom 22 de dic de 24,"7.400,00",birras,
vie 13 de dic de 24,"149.500,00",marimba,,,,,,,,TOTAL,"366.847,49","326847,49",,sáb 21/dic 24,,,sáb 21/dic 24,,diferencia,lun 23 de dic de 24,"18.755,00",asadoDoming,
vie 13 de dic de 24,"4.450,00",tabaco,,,,,,,,,"-637814,775326662",,,dom 22/dic 24,,,dom 22/dic 24,,dolar,jue 26 de dic de 24,"2.500,00",omeprazol,
mié 18 de dic de 24,"8.000,00",lavandería,,,,"-747,88",(?),,,,,,,lun 23/dic 24,,,lun 23/dic 24,"27,57",-53,vie 27 de dic de 24,"2.500,00",paracetamol,
jue 19 de dic de 24,"118.227,50",devolución,,,mar 10 de dic de 24,"-187.160,00",eze,,,,,,,mar 24/dic 24,,,mar 24/dic 24,,pesos,vie 27 de dic de 24,"25.000,00",alpargatas,
mar 24 de dic de 24,"8.000,00",lavandería,,,,,,,,,,,,mié 25/dic 24,,,mié 25/dic 24,,-66231,lun 23 de dic de 24,"5.000,00",(?),
,,,,,mar 10 de dic de 24,"12.840,00",retro,,,rendimientosReservas,"11253,83",,,jue 26/dic 24,,,jue 26/dic 24,"13,62",,lun 29 de dic de 25,"19.000,00",farmacia,
TOTAL,"763.943,24",,,,TOTAL,"284.487,36",,,,,,,,vie 27/dic 24,,,vie 27/dic 24,"7,73",,TOTAL,"168.611,59",,
,,,,,,,,,,saldoMercadoPago,"366.367,22",,,sáb 28/dic 24,"5.800,00",pelu,sáb 28/dic 24,,casa,Estipulado,200000,,
,,,,,,,,,,saldoBanco,"280,28",,,dom 29/dic 24,,,dom 29/dic 24,,-33115,,,,
,,,,,,,,,,efectivo,"200,00",,,lun 30/dic 24,"22.349,00",milas,lun 30/dic 24,"17,63",,,,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"366847,504836667",,,mar 31/dic 24,,,mar 31/dic 24,,,,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"0,010163328144699",,,,,,TOTAL,"385,03",,,,,
seis/seis,"16.866,50",camisetaAfa,,,,,,,,,,,,,,,,,,,,,
cinco/seis,"15.313,50",armario,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,,,,,,
,,,,,,,,,,FECHA,MONTO,CONCEPTO,,alquiler,,"2639,29",,,,,,,
,,,,,,,,,,seis/seis,"12.209,83",chaleco,,sem3,,"1015,1",,,,,,,
,,,,,,,,,,seis/seis,"6.854,60",tabacoMayo,,,,,,,,,,,
,,,,,,,,,,cuatro/cuatro,"18.318,44",easy,,,,,,,,,,,
,,,,,,,,,,disney+,"7.396,96",nivel6,,,,,,,,,,,
,,,,,,,,,,cuatro/seis,"17.264,77",tabacoJulio,,,,,,,,,,,
,,,,,,,,,,tres/nueve,"18.493,92",pasajes,,,,,,,,,,,
,,,,,,,,,,tres/seis,"22.466,66",zaps,,,,,,,,,,,
,,,,,,,,,,tres/seis,"15.583,17",auris,,dentista,,"1711,42",,,,,,,
,,,,,,,,,,dos/seis,"9.867,20",camisa,,semanaCua,,"1492,39",,,,,,,
,,,,,,,,,,dos/tres,"24.842,33",suple,,semanaTres,,"742,92",,,,,,,
,,,,,,,,,,vie 15 de nov de 24,"12.026,63",cabiAero,,autito,,"496,56",,,,,,,
,,,,,,,,,,jue 24 de oct de 24,"-9.238,13",jetSmart(?),,osde,,"496,56",,,,,,,
,,,,,,,,,,uno/doce,"4.915,75",bermudaAdidas,,emergencia,,"317,55",,,,,,,
,,,,,,,,,,jue 24 de oct de 24,"-14.747,25",digitalSport(?),,semanaDos,,"385,37",,,,,,,
,,,,,,,,,,mar 5 de nov de 24,"-12.572,60",jetSmart(?),,alquiler,,"1466,14",,,,,,,
,,,,,,,,,,,"-2,61",resto,,telefono,,"52,75",,,,,,,
,,varios,,,,,,,,,,,,total,0,"10868,8",0,,,,,,
