,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,sáb 01/ene 22,"0,00",
,,,,,,,,,,,,,,dom 02/ene 22,"2.030,00","cervezas, lomo"
,,,,,,,,,,,,,,lun 03/ene 22,"50,00",pan
,,,,,,,,,,,,,,mar 04/ene 22,"30,00",pan
GASTOS,,,,PAGOS,,,,INGRESOS,,,mié 05/ene 22,"700,00","frutas, verduras, pan",,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,jue 06/ene 22,"830,00","pan, stellas"
sáb 31 de dic de 22,"530,00",bebidas,,,vie 31 de dic de 21,"3.081,66",préstamo,,,,"-19.946,88",Resto,,vie 07/ene 22,"100,00",pan
lun 3 de ene de 22,"9.600,00",prote,,,vie 7 de ene de 22,"21.000,00",alquler,,,vie 31 de dic de 21,"135.020,76",sueldo,,sáb 08/ene 22,"1.620,00",birra lomo
jue 3 de feb de 22,"3.400,00",cipio,,,dom 2 de ene de 22,"1.790,00",telefono,,,,,,,dom 09/ene 22,"330,00","huevos, pan"
mié 12 de ene de 22,"3.800,00",negro auto,,,vie 31 de dic de 21,"6.157,17",osde,,,TOTAL,"115.073,88",,,lun 10/ene 22,"350,00",pan futbol
lun 17 de ene de 22,"3.500,00",flete,,,,,,,, ,,,,mar 11/ene 22,"1.660,00","Pan , birra, lomo"
,"1.500,00",(?),,,lun 3 de ene de 22,"2.500,00",gym,,,DIARIO,Días restantes,Días totales,,mié 12/ene 22,"300,00",pan tomates
lun 24 de ene de 22,"300,00",modista,,,,,,,,711,1,31,,jue 13/ene 22,"600,00",peluquería
lun 31 de ene de 22,"4.050,00",super,,,vie 31 de dic de 21,"10.726,19",auto,,,,,30,,vie 14/ene 22,"260,00","cerveza, pan"
,,,,,vie 31 de dic de 21,"2.502,00",internet,,,TOTAL,22026,GASTADO,,sáb 15/ene 22,"1.410,00","lomo, cerveza"
,,,,,,,,,,RESTO,-647,731,,dom 16/ene 22,"0,00",
,,,,,dom 2 de ene de 22,"5.612,75",bici,,,SALDO,-647,22673,,lun 17/ene 22,"400,00","pan, futbol"
,,,,,dom 2 de ene de 22,"2.753,00",zapas,,,,,,,mar 18/ene 22,"330,00","birra, mayonesa"
,,,,,lun 17 de ene de 22,"962,28",luz,,,SALDO,,,,mié 19/ene 22,"1.050,00","pan, fernet, coca"
mié 19 de ene de 22,"1.960,00",pollo varios,,,,,,,,,,,,jue 20/ene 22,"50,00",pan
lun 3 de ene de 22,"3.586,00",super,,,mié 5 de ene de 22,"999,16",comision(?),,,TOTAL,"-1.890,35",,,vie 21/ene 22,"2.350,00",asadi matik
mié 5 de ene de 22,"1.400,00",pollo mila,,,mar 25 de ene de 22,"361,62",gas,,,,"18056,53",,,sáb 22/ene 22,"1.930,00",birra lomo tabaco lillos
jue 13 de ene de 22,"639,80",pollo,,,,,,,,,,,,dom 23/ene 22,"250,00",tomates
lun 17 de ene de 22,"920,00",verdu y mila,,,,,,,,,,,,lun 24/ene 22,"1.422,00",salidita
vie 28 de ene de 22,"660,00",pollo,,,,,,,,,,,,mar 25/ene 22,"1.260,00",asado
,,,,,,,,,,,,,,mié 26/ene 22,"0,60",
TOTAL,"35.845,80",,,,TOTAL,"58.445,83",,,,,,,,jue 27/ene 22,"500,00","pan,verdura, avena"
,,,,,,,,,,,,,,vie 28/ene 22,"0,00",
,,,,,,,,,,SALDO BANCO,"-1890,35","-5890,35",,sáb 29/ene 22,"550,00",filtros y pan
,,,,,,,,,,EFECTIVO,430,,,dom 30/ene 22,"1.880,00","lomo, cerveza"
,,,,,,,,,,TOTAL,"-1460,35",,,lun 31/ene 22,"430,00",
,,,,,,,,,DIF,DINERO-CALCULO,"429,999999999977",,,,,
