TARJETA,,-1530,,,eze(?),174320,,,,totalTrading,,,,GASTO DIARIO,,,INTMP,,,,,
ALQUILER EZE,200000,,,,,,,,,0,,,,mié 01/ene 25,,,mié 01/ene 25,,GASTOS,"603.546,18",dolar blue,porHora
auto,,,,,total,174320,-12840,,,totalAuto,,,,jue 02/ene 25,,,jue 02/ene 25,"6,79",PAGOS,"447.094,87",1220,40hsSem
trading,,,,,,,374320,,,0,,,,vie 03/ene 25,,,vie 03/ene 25,"3,01",DIARIO,176297,minDolar,6
,,,,,,--->>>,174320,,,INGRESOS,,,sáb 04/ene 25,,,sáb 04/ene 25,,costoVida,"1.226.938,05",1006,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,dom 05/ene 25,,,dom 05/ene 25,,VERDADERO,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"366.847,49",Resto,,lun 06/ene 25,"3.300,00",pan,lun 06/ene 25,"26,98","853.546,18",FECHA,MONTO,CONCEPTO
lun 6 de ene de 25,"1.530,00",mastercard,,,lun 6 de ene de 25,"300.000,00",alquler,,,mié 1 de ene de 25,"920.503,37",sueldo,,mar 07/ene 25,"1.100,00",pan,mar 07/ene 25,"0,67","272.774,87",,,
lun 6 de ene de 25,"19.845,00",visa,,,jue 2 de ene de 25,"10.058,79",prestamo meja,,,,"9.941,86",inversiones,,mié 08/ene 25,,,mié 08/ene 25,"0,67",176297,mié 1 de ene de 25,"37.400,00",finDeAño
mié 15 de ene de 25,"115.445,07",prestamoCuatro,,,jue 2 de ene de 25,"10.530,32",prestamo new,,,,"37.589,81",sueldoExtra,,jue 09/ene 25,,,jue 09/ene 25,"6,51",total,jue 2 de ene de 25,"26.489,00",viaje
-----,,,,,,,,,,TOTAL,"1.334.882,53",,,vie 10/ene 25,"12.429,00",pedidosYa,vie 10/ene 25,"2,60",1302618,sáb 4 de ene de 25,"22.450,00",polloPapasTab
mar 31 de dic de 24,"7.128,92",maReProCel,,,,,,,, ,,,,sáb 11/ene 25,,,sáb 11/ene 25,,sueldoDolar,mar 7 de ene de 25,"10.000,00",nafta
mar 31 de dic de 24,"45.499,39",Notebook(2/12),,,lun 6 de ene de 25,"27.185,76",telefono,,,DIARIO,Días restantes,Días totales,,dom 12/ene 25,,,dom 12/ene 25,,1068,jue 9 de ene de 25,"4.950,00",fiambre
,,,,,mié 8 de ene de 25,"25.000,00",gym,,,5687,1,31,,lun 13/ene 25,"10.051,85",cafesSube,lun 13/ene 25,"12,72",,vie 10 de ene de 25,"98.213,60",trepal
mar 14 de ene de 25,"12.100,00",bujias,,,,,,,,,,30,,mar 14/ene 25,"4.200,00",tabaco,mar 14/ene 25,"7,02",sueldoDolar,vie 10 de ene de 25,"7.700,00",polloPan
mié 15 de ene de 25,"23.000,20",sportClub=(((,,,lun 6 de ene de 25,"10.620,00",agua,,,TOTAL,176297,GASTADO,,mié 15/ene 25,,,mié 15/ene 25,"0,90",porHora,lun 13 de ene de 25,"4.300,00",avenaPan
vie 17 de ene de 25,"20.000,00",seña,,,lun 6 de ene de 25,"8.700,00",edesur,,,RESTO,16,5876,,jue 16/ene 25,"3.100,00",subePan,jue 16/ene 25,"7,23","5,50",mar 14 de ene de 25,"11.300,00",polloHuevos
mié 15 de ene de 25,"120.000,00",eze/ahorro,,,lun 6 de ene de 25,"25.000,00",internet,,,SALDO,16,176281,,vie 17/ene 25,,,vie 17/ene 25,"2,16",mes,vie 17 de ene de 25,"9.395,00",frutasPollo
mié 22 de ene de 25,"-120.000,00",eze/ahorro,,,lun 6 de ene de 25,"30.000,00",gas,,,,,,,sáb 18/ene 25,,,sáb 18/ene 25,,880,sáb 18 de ene de 25,"1.100,00",pan
mar 28 de ene de 25,"40.000,00",arandaNafta,,,,,(?),,,SALDO,,,,dom 19/ene 25,"15.850,00",franco,dom 19/ene 25,,,mar 21 de ene de 25,"4.000,00",frutas
,,,,,,,,,,,,,,lun 20/ene 25,"8.100,00",polloPan,lun 20/ene 25,"6,54",,mar 28 de ene de 25,"11.700,00",polloPanFrutas
,,,,,,,,,,TOTAL,"32.280,63",,,mar 21/ene 25,"10.800,00",birras,mar 21/ene 25,"1,34",diferencia,,,
,,,,,,,,,,,"-888222,735323329",,,mié 22/ene 25,"14.700,00",panPeluPolloSube,mié 22/ene 25,"1,34",dolar,,,
,,,,,,,,,,,,,,jue 23/ene 25,"22.400,00",instMila,cierreTarjeta,"30,79",-188,,,
,,,,,,"-187.160,00",eze,,,,,,,vie 24/ene 25,"2.350,00",coquita,vie 24/ene 25,"104,86",pesos,,,
,"70.000,00",cry,,,,,,,,,,,,sáb 25/ene 25,"27.500,00",birrasHamb,sáb 25/ene 25,,-229018,,,
,"250.000,00",ahorro,,,,"12.840,00",retro,,,rendimientosReservas,"9941,86",,,dom 26/ene 25,"14.400,00",pizzas,dom 26/ene 25,,,,,
TOTAL,"853.546,18",,,,TOTAL,"272.774,87",,,,,,,,lun 27/ene 25,,,lun 27/ene 25,"296,04",,TOTAL,"248.997,60",
,,,,,,,,,,saldoMercadoPago,"421,75",,,mar 28/ene 25,,,mar 28/ene 25,"63,77",casa,Estipulado,200000,
,,,,,,,,,,saldoBanco,"35,93",,,mié 29/ene 25,"15.500,00",lomobirra,mié 29/ene 25,"21,54",-114509,,,
,,,,,,,,,,efectivo,"0,00",,,jue 30/ene 25,,,jue 30/ene 25,"21,46",,total,376297,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"457,680003333262",,,vie 31/ene 25,"10.500,00",subeMila,vie 31/ene 25,"8,85",,porSemana,"94074,25",,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-31822,9546733381",,,,,,TOTAL,"633,79",,,,
,,,,,,,,,,,,,,,,,,,,,,
seis/seis,"15.314,00",armario,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,,TRANSFERENCIAS,,,
,"-0,50",,,,,,,,,FECHA,MONTO,CONCEPTO,,autito,"250.000,00","6299,39","256299,39",,,FECHA,MONTO,CONCEPTO
,,,,,,,,,,,,,,emergencia,"30.000,00","2519,73","32519,73",,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,disney+,"15.299,00",nivel6,,,,,,,,,,
,,,,,,,,,,cinco/seis,"17.264,77",tabacoJulio,,,,,,,,mié 8 de ene de 25,"169.000,00",rendimientos
,,,,,,,,,,cuatro/nueve,"18.493,92",pasajes,,,,,,,,mar 14 de ene de 25,"117.283,70",prestamos
,,,,,,,,,,cuatro/seis,"22.466,70",zaps,,semanaCua,,"1235,35",,,,mié 15 de ene de 25,"20.780,30",prestamoDenuevo
,,,,,,,,,,cuatro/seis,"15.583,17",auris,,alquiler,,"1574,68",,,,mié 15 de ene de 25,"120.000,00",eze
,,,,,,,,,,tres/seis,"9.867,20",camisa,,semanaTres,,"782,62",,,,mié 22 de ene de 25,"120.000,00",ezeVuelta
,,,,,,,,,,tres/tres,,suple,,dentista,,"755,11",,,,vie 31 de ene de 25,"70.000,00",cry
,,,,,,,,,,dos/doce,"4.915,75",bermudaAdidas,,agua,,"566,13",,,,vie 31 de ene de 25,"49.835,00",cry
,,,,,,,,,,uno/seis,"19.830,00",blancoNegro,,gym,,"230,48",,,,,,
,,,,,,,,,,jue 28 de nov de 24,"9.800,00",precillas,,ahorro wuu,,"772,54",,,,,,
,,,,,,,,,,uno/tres,"11.666,67",correaje,,finde,,"79,13",,,,,,
,,,,,,,,,,lun 2 de dic de 24,"28.686,69",cabiAero,,semanaDos,,"157,35",,,,,,
,,,,,,,,,,uno/doce,"1.249,92",mouse,,sem3,,"412,79",,,,,,
,"-13.783,50",,,,,,,,,vie 13 de dic de 24,"23.328,66",cabiBernal,,telefono,,"111,08",,,,,,
,,,,,,,,,,,"-2,55",,,total,280000,"9308,07","288819,12",,,,,
TOTAL,"1.530,00",,,,TOTAL,"0,00",,,,TOTAL,"19.845,00",,,,INV,REND,TOTAL,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"-178.604,89",,,,,,,,,,"119.835,00",binanceMes
,,,,,,,,,,,,,,,,,,,,,"119.835,00",binanceTotal
