,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,mar 01/feb 22,"970,00",asado selección
,,,,,,,,,,,,,,mié 02/feb 22,"300,00",futbol
,,,,,,,,,,,,,,jue 03/feb 22,"1.940,00",tabaco lomo birra
,,,,,,,,,,,,,,vie 04/feb 22,,
GASTOS,,,,PAGOS,,,,INGRESOS,,,sáb 05/feb 22,"0,00",,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,dom 06/feb 22,"100,00",pan
mar 1 de feb de 22,"400,00",aguaPSA,,,mar 1 de feb de 22,"3.069,93",préstamo,,,,"-1.890,35",Resto,,lun 07/feb 22,"300,00",futbol
jue 3 de feb de 22,"4.389,75",Alm-bod-dic,,,lun 7 de feb de 22,"21.000,00",alquler,,,mar 1 de feb de 22,"119.444,68",sueldo,,mar 08/feb 22,"0,00",
mié 2 de feb de 22,"870,00",limpieza,,,jue 3 de feb de 22,"1.780,00",telefono,,,,"430,00",,,mié 09/feb 22,"300,00",futbol
mié 2 de feb de 22,"1.000,00",(?),,,mié 2 de feb de 22,"3.528,82",osde,,,TOTAL,"117.984,33",,,jue 10/feb 22,"500,00",birra pan
mié 16 de feb de 22,"3.100,00",casino,,,,,,,, ,,,,vie 11/feb 22,"900,00",salida diegope
vie 25 de feb de 22,"970,00",ferreteria,,,mar 8 de feb de 22,"2.500,00",gym,,,DIARIO,Días restantes,Días totales,,sáb 12/feb 22,"200,00",mayo pan
,,,,,,,,,,445,1,28,,dom 13/feb 22,"0,00",
,,,,,mar 1 de feb de 22,"10.716,24",auto,,,,,27,,lun 14/feb 22,"0,00",
,,,,,mié 2 de feb de 22,"2.817,00",internet,,,TOTAL,12460,GASTADO,,mar 15/feb 22,"0,00",
,,,,,,,,,,RESTO,50,460,,mié 16/feb 22,"0,00",
,,,,,jue 3 de feb de 22,"5.612,75",bici,,,SALDO,50,12410,,jue 17/feb 22,"700,00",birras
,,,,,jue 3 de feb de 22,"2.753,00",zapas,,,,,,,vie 18/feb 22,"50,00",pan
mié 2 de feb de 22,"1.200,00",pollo,,,,,,,,SALDO,,,,sáb 19/feb 22,"1.550,00",desayuno pelu cervezas
lun 7 de feb de 22,"1.470,00",pollo y huevos,,,vie 18 de feb de 22,"459,04",gas,,,,,,,dom 20/feb 22,"300,00",pan lillos
mié 9 de feb de 22,"260,00",tomates,,,mar 1 de feb de 22,"904,02",comision(?),,,TOTAL,"28.828,02",,,lun 21/feb 22,"630,00",pan tomates papas
lun 14 de feb de 22,"2.730,00",super,,,lun 14 de feb de 22,"1.125,76",gas,,,,"30718,37",,,mar 22/feb 22,"0,00",
lun 14 de feb de 22,"2.250,00",pollo mila tomates huevs,,,,,,,,,,,,mié 23/feb 22,"2.380,00",lomo birra
jue 24 de feb de 22,"1.640,00",pollo y huevos,,,,,,,,,,,,jue 24/feb 22,"40,00",pan
vie 25 de feb de 22,"200,00",avena y chia,,,,,,,,,,,,vie 25/feb 22,"1.250,00",pan tabaco
,,,,,,,,,,,,,,sáb 26/feb 22,,
TOTAL,"20.479,75",,,,TOTAL,"56.266,56",,,,,,,,dom 27/feb 22,,
,,,,,,,,,,,,,,lun 28/feb 22,,
,,,,,,,,,,SALDO BANCO,"27784,05",,,mar 01/mar 22,,
,,,,,,,,,,EFECTIVO,1050,,,mié 02/mar 22,,
,,,,,,,,,,TOTAL,"28834,05",,,jue 03/mar 22,,
,,,,,,,,,DIF,DINERO-CALCULO,"6,02999999998065",,,,,
