,,,,,,,,,,,,,,GASTO DIARIO,,,INTMP,,,,,
,,,,,,,,,,,,,,jue 01/ene 26,,,jue 01/ene 26,,GASTOS,"27.970,60",dolar blue,porHora
,,,,,,,,,,,,,,vie 02/ene 26,,,vie 02/ene 26,,PAGOS,"237.850,87",1125,40hsSem
,,,,,,,,,,,,,,sáb 03/ene 26,,,sáb 03/ene 26,,DIARIO,86800,minDolar,2
,,,,,,,,,,INGRESOS,,,dom 04/ene 26,,,dom 04/ene 26,,costoVida,"352.621,47",313,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,lun 05/ene 26,,,lun 05/ene 26,,VERDADERO,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"-124.459,02",Resto,,mar 06/ene 26,,,mar 06/ene 26,,"27.970,60",FECHA,MONTO,CONCEPTO
lun 1 de dic de 25,"0,00",mastercard,,,,"45.000,00",gym,,,lun 1 de dic de 25,"232.657,79",sueldo,,mié 07/ene 26,,,mié 07/ene 26,,"237.850,87",,"0,00",varios
lun 1 de dic de 25,"27.970,60",visa,,,,,,,,,"0,00",inversiones,,jue 08/ene 26,,,jue 08/ene 26,,86800,,,
,,auto,,,,,,,,,,sueldoExtra,,vie 09/ene 26,,,vie 09/ene 26,,total,,,
,,moto,,,,,,,,TOTAL,"108.198,77",,,sáb 10/ene 26,,,sáb 10/ene 26,,352621,,,
,,,,,,,,,, ,,,,dom 11/ene 26,,,dom 11/ene 26,,sueldoDolar,,,
,,,,,,"23.000,04",telefono,,,DIARIO,Días restantes,Días totales,,lun 12/ene 26,,,lun 12/ene 26,,313,,,
,,,,,,,gym,,,2800,30,31,,mar 13/ene 26,,,mar 13/ene 26,,,,,
,,,,,,,Osde | dientes,,,,,1,,mié 14/ene 26,,,mié 14/ene 26,,sueldoDolar,,,
,,,,,,"9.850,83",prestamoMeja,63,72,TOTAL,86800,GASTADO,,jue 15/ene 26,,,jue 15/ene 26,,porHora,,,
,,,,,,"160.000,00",prestamoMoto,8,60,RESTO,2893,0,,vie 16/ene 26,,,vie 16/ene 26,,"5,00",,,
,,,,,,,,,,SALDO,86800,0,,sáb 17/ene 26,,,sáb 17/ene 26,,mes,,,
,,,,,,,,,,,,,,dom 18/ene 26,,,dom 18/ene 26,,800,,,
,,,,,,,,,,SALDO,,,,lun 19/ene 26,,,lun 19/ene 26,,,,,
,,,,,,,,,,,,,,mar 20/ene 26,,,mar 20/ene 26,,,,,
,,,,,,,,,,TOTAL,"-244.422,70","-284422,70",,mié 21/ene 26,,,mié 21/ene 26,,diferencia,,,
,,,,,,,,,,,"-477080,491973334",,,jue 22/ene 26,,,jue 22/ene 26,,dolar,,,
,,,,,,,,,,,,,,vie 23/ene 26,,,vie 23/ene 26,,487,,,
,,,,,,,,,,,,,,sáb 24/ene 26,,,sáb 24/ene 26,,pesos,,,
,,,,,,,,,,,,,,dom 25/ene 26,,,dom 25/ene 26,,547379,,,
,,paracaidas,,,,,,,,rendimientosReservas,0,,,lun 26/ene 26,,,lun 26/ene 26,,,,,
TOTAL,"27.970,60",,,,TOTAL,"237.850,87",,,,,,,,mar 27/ene 26,,,mar 27/ene 26,,,TOTAL,"0,00",
,,,,,,,,,,saldoMercadoPago,"1.959.833,04",,,mié 28/ene 26,,,mié 28/ene 26,,casa,Estipulado,,
,,,,,,,,,,saldoBanco,"-1.259.677,05",,,jue 29/ene 26,,,jue 29/ene 26,,273689,promedioReal,0,
,,,,,,,,,,efectivo,,,,vie 30/ene 26,,,vie 30/ene 26,,,promedioCalculado,21700,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"700155,986666671",,,sáb 31/ene 26,,,sáb 31/ene 26,,,por semana,82100,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"944578,69",,,,,,TOTAL,0,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,TRANSFERENCIAS,,,
,,,,,,,,,,FECHA,MONTO,CONCEPTO,,autito,"0,00",,0,,,FECHA,MONTO,CONCEPTO
,,,,,,,,,,disney+,"18.399,00",nivel6,,emergencia,"491,72",,"491,720000000001",,,,"834.900,00",
,,,,,,,,,,,,,,vacas,,0,0,,,,,
,,,,,,,,,,,,,,dentista,"0,00",0,0,,,,,ahorro
,,,,,,,,,,,,,,osde,"0,00",0,0,,,,,
,,,,,,,,,,once/treinta,"9.571,60",monitor,,semanaTer,"0,00",0,0,,,,,
,,,,,,,,,,,,,,semanaCua,"0,00",0,0,,,,,
,,,,,,,,,,,,,,semanaDos,"0,00",0,0,,,,,
,,,,,,,,,,,,,,semanaTres,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"0,00",,,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",,,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,,,,,,,,,,,,,,,"0,00",0,0,,,,,
,"0,00",varios,,,,,,,,,,varios,,total,"491,720000000001",0,"491,720000000001",,,,,
TOTAL,"0,00",,,,TOTAL,"0,00",,,,TOTAL,"27.970,60",,,,INV,REND,TOTAL,,,,,
,,,,,,,,,,,,,,,,,,,,,,
