,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,1,"0,00",
,,,,,,,,,,,,,,2,"400,00",helado
,,,,,,,,,,,,,,3,"450,00",helado
,,,,,,,,,,,,,,4,"350,00",nafta ktm
GASTOS,,,,PAGOS,,,,INGRESOS,,,5,"300,00",Lomito 2,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,6,"500,00",tabaco
,,,,,mié 1 de jul de 20,"3.254,80",préstamo,,,,"-10.885,95",Resto,,7,"0,00",
jue 30 de jul de 20,"5.000,00",auto,,,jue 2 de jul de 20,"6.000,00",abuela,,,,"47.800,00",sueldo,,8,"0,00",
mar 21 de jul de 20,"10.000,00",tattoo,,,dom 5 de jul de 20,"1.200,00",telefono,,,,"16.000,00",aguinaldo,,9,"1.000,00",varios
jue 2 de jul de 20,"4.000,00",mari mori,,,jue 2 de jul de 20,"4.272,00",osde,,,TOTAL,"52.914,05",,,10,"0,00",
mié 1 de jul de 20,"284,07",intereses,,,jue 2 de jul de 20,"1.600,00",gym,,, ,,,,11,"0,00",
mar 14 de jul de 20,"5.300,00",suple,,,jue 16 de jul de 20,"1.400,00",sef/moto,,,DIARIO,Días restantes,Días totales,,12,"0,00",
sáb 18 de jul de 20,"2.550,00",super,,,,,,,,200,1,31,,13,"0,00",
,,,,,,,,,,,,30,,14,"1.000,00",tabaco
,,,,,,,,,,TOTAL,6200,,,15,"800,00",compu
,,,,,,,,,,RESTO,"-5247,18",GASTADO,,16,"250,00",pelu
,,,,,,,,,,SALDO,"-5247,18","11447,18",,17,"0,00",
,,,,,,,,,,,,,,18,"0,00",
,,,,,,,,,,SALDO,,,,19,"1.100,00",lentejas
,,,,,,,,,,,,,,20,"750,00",cargador
,,,,,,,,,,TOTAL,"-3.394,00",,,21,"1.200,00",comilona
,,,,,,,,,,,,,,22,"150,00",bici
,,,,,,,,,,,,,,23,"0,00",
,,,,,,,,,,,,,,24,"600,00",crema
,,,,,,,,,,,"0,00",,,25,"510,00",lomo
,,,,,,,,,,,,,,26,"0,00",
TOTAL,"27.134,07",,,,TOTAL,"17.726,80",,,,,,,,27,"0,00",
,,,,,,,,,,,,,,28,"0,00",
,,,,,,,,,,,,,,29,"0,00",
,,,,,,,,,,,,,,30,"750,00","naftameha, varios"
,,,,,,,,,,,,,,31,"1.337,18",varios
