,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,jue 01/jul 21,"350,00",pelu
,,,,,,,,,,,,,,vie 02/jul 21,"600,00",futbol birras
,,,,,,,,,,,,,,sáb 03/jul 21,"650,00",asad termo
,,,,,,,,,,,,,,dom 04/jul 21,"0,00",
GASTOS,,,,PAGOS,,,,INGRESOS,,,lun 05/jul 21,"700,00",prode futbol pan,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,mar 06/jul 21,"1.700,00",lomocon papas y papas
,,,,,jue 1 de jul de 21,"3.146,26",préstamo,,,,"-19.295,97",Resto,,mié 07/jul 21,"0,00",
lun 5 de jul de 21,"1.814,00",super,,,sáb 10 de jul de 21,"21.000,00",alquler,,,jue 1 de jul de 21,"72.926,28",sueldo,,jue 08/jul 21,"430,00",inscripción torneo
mar 6 de jul de 21,"1.140,00",pollo y huevos,,,jue 8 de jul de 21,"1.653,00",telefono,,,,"22.743,13",Aguinaldo,,vie 09/jul 21,"1.500,00",futbol asado
sáb 17 de jul de 21,"1.410,00",pollo y huevos,,,lun 28 de jun de 21,"4.934,31",osde,,,TOTAL,"76.373,44",,,sáb 10/jul 21,"0,00",
vie 16 de jul de 21,"1.200,00",pastis café,,,,,,,, ,,,,dom 11/jul 21,"0,00",
jue 22 de jul de 21,"1.140,00",bici,,,jue 8 de jul de 21,"2.500,00",gym,,,DIARIO,Días restantes,Días totales,,lun 12/jul 21,"720,00",mac
dom 25 de jul de 21,"1.230,00",pollo y huevos,,,,,,,,489,2,31,,mar 13/jul 21,"0,00",
sáb 24 de jul de 21,"1.170,00",laburo,,,jue 1 de jul de 21,"10.779,16",auto,,,,,29,,mié 14/jul 21,"1.070,00",lomocon papas y papas
mié 28 de jul de 21,"1.200,00",reloj,,,mar 22 de jun de 21,"1.865,00",internet,,,TOTAL,15159,GASTADO,,jue 15/jul 21,"300,00",naranjas y bananas
,,,,,vie 2 de jul de 21,"622,60",comision(?),,,RESTO,-1,523,,vie 16/jul 21,"100,00",papas
,,,,,mar 22 de jun de 21,"573,00",gas,,,SALDO,-1,15160,,sáb 17/jul 21,"400,00",birra y coca
,,,,,mié 14 de jul de 21,"5.204,55",luz,,,,,,,dom 18/jul 21,"0,00",
,,,,,jue 15 de jul de 21,"959,09",gas,,,SALDO,,,,lun 19/jul 21,"0,00",
,,,,,,,,,,,,,,mar 20/jul 21,"440,00",bananas tomates papas
,,,,,,,,,,TOTAL,"-2.327,53",,,mié 21/jul 21,"1.550,00",tabaco pelu lomo con papas
,,,,,,,,,,,"16968,44",,,jue 22/jul 21,"560,00",lomo y cocoa
,,,,,,,,,,,,,,vie 23/jul 21,"0,00",
,,,,,,,,,,,,,,sáb 24/jul 21,"0,00",
,,,,,,,,,,,,,,dom 25/jul 21,"0,00",
,,,,,,,,,,,,,,lun 26/jul 21,"80,00",pan
TOTAL,"10.304,00",,,,TOTAL,"53.236,97",,,,,,,,mar 27/jul 21,"1.100,00",lomo con papas
,,,,,,,,,,,,,,mié 28/jul 21,"350,00",frutas y verduras
,,,,,,,,,,,,,,jue 29/jul 21,"540,00",tabaco y lillos
,,,,,,,,,,,,,,vie 30/jul 21,"450,00",tubol y birra
,,,,,,,,,,,,,,sáb 31/jul 21,"1.570,00",lomo y birra
