TARJETA,30000,"-13599,8133333333",,,,,,,,,,,,GASTO DIARIO,,,
,,,,,,,,,,,,,,sáb 01/jul 23,"0,00",,
,adelantoHab,"17332,15",,,,,,,,,,,,dom 02/jul 23,"0,00",,
,ahorro,30000,,,,,,,,,,,,lun 03/jul 23,"1.900,00",futbolSube,
,,,,,,,,,,INGRESOS,,,mar 04/jul 23,"1.600,00",tabaco,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,mié 05/jul 23,"0,00",,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"3.483,63",Resto,,jue 06/jul 23,"960,00",verdus,
jue 6 de jul de 23,"43.599,81",tarjeta,,,mar 4 de jul de 23,"82.000,00",alquler,,,sáb 1 de jul de 23,"322.495,41",sueldo,,vie 07/jul 23,"6.920,00",alcohol,
mar 4 de jul de 23,"39.000,00",depósito,,,sáb 1 de jul de 23,"10.487,09",prestamo meja,,,,,,,sáb 08/jul 23,"0,00",,
dom 2 de jul de 23,"2.500,00",asado9deJulio,,,sáb 1 de jul de 23,"11.125,90",prestamo new,,,mié 5 de jul de 23,"78.193,39",Aguinaldo,,dom 09/jul 23,"2.000,00",asado,
jue 6 de jul de 23,"20.000,00",meharito,,,sáb 1 de jul de 23,"12.508,82",prestamo fibra,,,TOTAL,"404.172,43",,,lun 10/jul 23,"0,00",,
lun 10 de jul de 23,"11.500,00",almohada,,,sáb 1 de jul de 23,"17.479,78",osde,,, ,,,,mar 11/jul 23,"0,00",,
,,,,,vie 16 de jun de 23,"2.479,39",telefono,,,DIARIO,Días restantes,Días totales,,mié 12/jul 23,"0,00",,
,,,,,mar 18 de jul de 23,"6.500,00",gym,,,1320,1,31,,jue 13/jul 23,"0,00",,
,,,,,sáb 1 de jul de 23,"15.644,79",prestamoBsAS,,,,,30,,vie 14/jul 23,"2.000,00",peluquero,
,,,,,sáb 1 de jul de 23,"1.092,78",agua,,,TOTAL,40920,GASTADO,,sáb 15/jul 23,"7.000,00",salidaDoom,
mar 25 de jul de 23,"6.650,00",verdu,,,sáb 1 de jul de 23,"2.138,75",edesur,,,RESTO,-36,1365,,dom 16/jul 23,"990,00",tabacoLi,
lun 24 de jul de 23,"3.260,00",papasPollo,,,,"0,00",internet,,,SALDO,-36,40956,,lun 17/jul 23,"620,00",preEmbarque,
jue 20 de jul de 23,"5.820,00",verduCarni,,,,,,,,,,,,mar 18/jul 23,,,
sáb 1 de jul de 23,"2.732,00",verdu,,,jue 29 de jun de 23,"1.485,00",poliza,,,SALDO,,,,mié 19/jul 23,,,
dom 2 de jul de 23,"6.323,00",super,,,dom 30 de jul de 23,"2.343,82",telAgosto,,,,,,,jue 20/jul 23,,,cierreTarjeta
mar 4 de jul de 23,"5.396,00",verduCarniLimp,,,dom 30 de jul de 23,"11.637,71",osdeAgosto,,,TOTAL,"73.609,03",,,vie 21/jul 23,"8.000,00",cumple,
jue 6 de jul de 23,"4.990,00",carni,,,,"7.144,00",(?),,,,"-248886,383333334",,,sáb 22/jul 23,"2.300,00",futbolVarios,
lun 10 de jul de 23,"2.860,00",frutas,,,(?),"-16.864,29",intMp,,,,,,,dom 23/jul 23,"1.500,00",tabacoBirras,
mar 11 de jul de 23,"2.593,00",papasCoste,,,vie 7 de jul de 23,"-42.615,77",eze,,,,,,,lun 24/jul 23,,,
vie 14 de jul de 23,"6.340,00",superCarni,,,jue 29 de jun de 23,"-1.485,00",mesAnterior,,,,,,,mar 25/jul 23,,,
lun 17 de jul de 23,"5.420,00",super,,,vie 16 de jun de 23,"-2.479,39",mesAnterior,,,,,,,mié 26/jul 23,,,
TOTAL,"168.983,81",,,,TOTAL,"120.623,38",,,,,,,,jue 27/jul 23,"1.566,21",tabaco,
,,,,,,,,,,saldoMercadoPago,"667,24",,,vie 28/jul 23,,,
,,,,,,,,,,saldoBanco,"72.881,42",,,sáb 29/jul 23,"3.600,00",comilona,
,,,,,,,,,,efectivo,60,,,dom 30/jul 23,,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"73608,6566666666",,,lun 31/jul 23,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-0,369999999777065",,,,,,
doce/doce,"1.631,16",jetsmart,,,,,,,,,,,,,,,
seis/seis,"1.827,35",maflabici,,,,,,,,,,,,,,,
cinco/seis,"2.163,33",calzasBIci,,,,,,,,,,,,,,,
cuatro/doce,"3.541,67",bateriaAuto,,,,,,,,,,,,,,,
tres/seis,"9.557,33",camisaCorba,,,,,,,,,,,,,,,
dos/tres,"1.999,67",pavaElec,,,,,,,,,,,,,,,
dos/tres,"11.396,33",zapasMedi,,,,,,,,,,,,,,,
vie 26 de may de 23,"2.518,97",pedidosya,,,,,,,,,,,,,,,
uno/seis,"4.509,15",bañoVarios,,,,,,,,,,,,,,,
uno/seis,"4.454,85",miBand7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,TOTAL,"0,00",,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TOTAL,"43.599,81",,,,,,,,,,,,,,,,
