TARJETA,,0,,,eze(?),154320,,,,,-7737,,,GASTO DIARIO,,,INTMP,,,,,,,
ALQUILER EZE,300000,,,,,,,,,,,,,mar 01/jul 25,"15.300,00",mila,mar 01/jul 25,"2,48",GASTOS,"567.645,63",dolar blue,porHora,,
auto,,,,,total,154320,-72840,,,,,,,mié 02/jul 25,,,mié 02/jul 25,"58,90",PAGOS,"782.115,33",1125,40hsSem,,
trading,,,,,,,454320,,,,,,,jue 03/jul 25,"6.000,00",comidaPrimeDia,jue 03/jul 25,"45,89",DIARIO,125250,minDolar,8,,
,,,,,,--->>>,154320,,,INGRESOS,,,vie 04/jul 25,"9.100,00",burguerViaHonda,vie 04/jul 25,"40,77",costoVida,"1.475.010,96",1311,,,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,sáb 05/jul 25,"2.970,50",coquitaHotel,sáb 05/jul 25,,VERDADERO,GASTOS EXTRAS,,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"257.129,61",Resto,,dom 06/jul 25,"14.817,00",birrrasHelado,dom 06/jul 25,,"567.645,63",FECHA,MONTO,CONCEPTO,,
,"0,00",mastercard,,,vie 25 de jul de 25,"380.000,00",alquler,,,sáb 1 de mar de 25,"1.126.701,49",sueldo,,lun 07/jul 25,,,lun 07/jul 25,"118,90","627.795,33",,,,,
mié 2 de jul de 25,"112.180,98",visa,,,vie 25 de jul de 25,"10.620,00",agua,,,,"14.675,25",inversiones,,mar 08/jul 25,"2.650,00",puchosLuppi,mar 08/jul 25,"12,36",125250,mié 2 de jul de 25,"1.700,00",pan,,
mar 1 de jul de 25,"45.499,39",notebook(8/12),,,vie 25 de jul de 25,"8.700,00",edesur,,,,"307.370,78",sueldoExtra,,mié 09/jul 25,"9.650,00",facturasPan,mié 09/jul 25,,total,sáb 5 de jul de 25,"39.209,66",variosRosario,,
,,,,,vie 25 de jul de 25,"25.000,00",internet,,,TOTAL,"1.705.877,13",,,jue 10/jul 25,"2.800,00",birraCerrilos,jue 10/jul 25,"1,61",1320691,lun 7 de jul de 25,"7.875,00",huevosPan,,
mar 1 de jul de 25,"8.510,60",cajaMisterio(6/6),,,vie 25 de jul de 25,"30.000,00",gas,,, ,,,,vie 11/jul 25,"14.000,00",birrasVarias,vie 11/jul 25,"1,27",sueldoDolar,jue 10 de jul de 25,"36.942,49",farmaciaVarios,,
mar 1 de jul de 25,"17.014,00",tabaco(5/6),,,lun 7 de jul de 25,"22.299,99",telefono,,,DIARIO,Días restantes,Días totales,,sáb 12/jul 25,,,sáb 12/jul 25,,1174,lun 14 de jul de 25,"15.756,57",quesoJamonAven,,
mar 1 de jul de 25,"26.780,00",animalPak(2/6),,,lun 7 de jul de 25,"25.000,00",gym,,,4175,6,30,,dom 13/jul 25,,,dom 13/jul 25,,,mar 15 de jul de 25,"54.992,00",suple,,
mar 1 de jul de 25,"29.407,88",variosMoto(1/6),,,,,Osde | dientes,,,,,24,,lun 14/jul 25,"22.000,00",peluLavan,lun 14/jul 25,"55,08",sueldoDolar,vie 18 de jul de 25,"23.413,84",superMemoUsb,,
mar 8 de jul de 25,"30.000,00",buzoDai,,,mar 1 de jul de 25,"9.850,83",prestamoMeja,58,72,TOTAL,125250,GASTADO,,mar 15/jul 25,,,mar 15/jul 25,"2,09",porHora,sáb 19 de jul de 25,"18.000,00",balaclava,,
mar 15 de jul de 25,"20.000,00",marimba,,,mar 1 de jul de 25,"270.644,51",prestamoMoto,1,60,RESTO,-3323,6049,,mié 16/jul 25,"5.500,00",birraCerrilos,mié 16/jul 25,"5,50","6,00",jue 24 de jul de 25,"6.188,22",super,,
mar 29 de jul de 25,"20.000,00",marimba,,,,,,,,SALDO,-19938,145188,,jue 17/jul 25,,,jue 17/jul 25,"5,95",mes,sáb 26 de jul de 25,"18.100,00",birrasMaxi,,
,,,,,,,,,,,,,,vie 18/jul 25,,,vie 18/jul 25,"20,96",960,dom 27 de jul de 25,"25.500,00",domingo,,
,,,,,,,,,,SALDO,,,,sáb 19/jul 25,"5.200,00",birra,sáb 19/jul 25,,,mar 29 de jul de 25,"5.775,00",facturas,,
,,,,,,,,,,,,,,dom 20/jul 25,,,dom 20/jul 25,,,mié 30 de jul de 25,"4.800,00",tabaco,,
,,,,,,,,,,TOTAL,"478.657,67","438657,67",,lun 21/jul 25,,,lun 21/jul 25,"18,69",diferencia,,,,,
,,,,,,,,,,,"-648043,817806666",,,mar 22/jul 25,"5.000,00",futbol,mar 22/jul 25,"6,00",dolar,,,,,
,,,,,,,,,,,,,,mié 23/jul 25,,,mié 23/jul 25,"6,66",-214,,,,,
,,,,,vie 25 de jul de 25,"-227.160,00",eze,,,,,,,jue 24/jul 25,,,jue 24/jul 25,"1,00",pesos,,,,,
,,,,,,,,,,,,,,vie 25/jul 25,,,vie 25/jul 25,"21,05",-240691,,,,,
,,paracaidas,,,vie 25 de jul de 25,"72.840,00",retro,,,rendimientosReservas,"14675,25",,,sáb 26/jul 25,,,sáb 26/jul 25,,,,,,,
TOTAL,"567.645,63",,,,TOTAL,"627.795,33",,,,,,,,dom 27/jul 25,,,dom 27/jul 25,,,TOTAL,"258.252,78",,,
,,,,,,,,,,saldoMercadoPago,"11.831,77",,,lun 28/jul 25,"10.000,00",lavan,lun 28/jul 25,"152,12",casa,Estipulado,235000,,,
,,,,,,,,,,saldoBanco,"9.551,54",,,mar 29/jul 25,,,mar 29/jul 25,"41,83",-120345,promedioReal,"95046,875",,,
,,,,,,,,,,efectivo,,,,mié 30/jul 25,"20.200,00",desayunoPuma,mié 30/jul 25,"19,86",,promedioCalculado,"95875,695",,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"21383,3075166663",,,jue 31/jul 25,,,jue 31/jul 25,"9,16",,por semana,82100,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-457274,364676668",,,,,,TOTAL,"648,13",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,TRANSFERENCIAS,,,,,
,,,,,,,,,,FECHA,MONTO,CONCEPTO,,autito,"0,00",,0,,,FECHA,MONTO,CONCEPTO,,
,,,,,,,,,,disney+,"18.399,00",nivel6,,emergencia,"0,00",,0,,,mar 1 de jul de 25,"730.000,00",sueldo,,
,,,,,,,,,,ocho/doce,"4.915,75",bermudaAdidas,,,,,,,,dom 6 de jul de 25,"300.000,00",aguinaldo,,
,,,,,,,,,,siete/doce,"1.249,92",mouse,,dentista,"200.000,00","4310,13","204310,13",,,vie 11 de jul de 25,"300.000,00",alquiler,,
,,,,,,,,,,seis/doce,"5.425,00",shortsRosario,,,,,,,,jue 17 de jul de 25,"113.409,00",comisión,,
,,,,,,,,,,cinco/treinta,"9.571,60",monitor,,sem3,"85.000,00","1004,88","86004,88",,,vie 25 de jul de 25,"300.000,00",retiro,,
,,,,,,,,,,dos/seis,"9.918,92",boxers,,service,"71.581,93","1595,64","73177,57",,,,,,,
,,,,,,,,,,uno/seis,"30.966,67",camAnsilt,,carnet,"50.755,88","1131,38","51887,26",,,,,,,
,,,,,,,,,,mar 10 de jun de 25,"19.309,00",cenaPartido,,transferencia,"40.903,92","911,73","41815,65",,,,,,,
,,,,,,,,,,uno/tres,"15.525,12",eternauta,,,,,,,,,,,,
,,,,,,,,,,,"-3.100,00",(?),,,,,,,,,,/,,
,,,,,,,,,,,,,,alquiler,,"1586,81",,,,,,,,
,,,,,,,,,,,,,,semanaCua,,"767,73",,,,,,,,
,,,,,,,,,,,,,,semanaTer,,"460,15",,,,,,,"641,81",usdt
,,,,,,,,,,,,,,semanaDos,,"241,87",,,,,,,"1.215,06",venta
,,,,,,,,,,,,,,ahorroWuu,,"1859,04",,,,,,,,
,,,,,,,,,,,,,,telefono,,"78,88",,,,,,,,
,"0,00",varios,,,,,,,,,,varios,,total,"448241,73","14027,12","457195,49",,,,,,,
TOTAL,"0,00",,,,TOTAL,"0,00",,,,TOTAL,"112.180,98",,,,INV,REND,TOTAL,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Resto,saldoMP,"3.408,26",,,,,,,,,,,,,,,,,,,,binanceMes,,
,autito,,,,,,,,,,,,,,,,,,,,"779.835,00",binanceTotal,,
,emergencia,,,,,,,,,,,,,,,,,,,,,,,
,binanceTotal,"779.835,00",,,,,,,,,,,,,,,,,,1 de junio,"639,74",usdt,,
,total,"257.129,61",,,,,,,,,,,,,,,,,,,"1.284,00",venta,,
,sueldo,"1.134.438,49",,,,,,,,,,,,,,,,,,,"821.426,16",total,,
,,,,,,,,,,,,,,,,,,,,,"41.591,16",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,21 de junio,"641,02",usdt,,
,,,,,,,,,,,,,,,,,,,,,"1.297,50",venta,,
,,,,,,,,,,,,,,,,,,,,,"831.723,45",total,,
,,,,,,,,,,,,,,,,,,,,,"51.888,45",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,24 de junio,"641,37",usdt,,
,,,,,,,,,,,,,,,,,,,,,"1.280,00",venta,,
,,,,,,,,,,,,,,,,,,,,,"820.953,60",total,,
,,,,,,,,,,,,,,,,,,,,,"41.118,60",,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,28 de junio,"641,81",usdt,,
,,,,,,,,,,,,,,,,,,,,,"1.296,20",venta,,
,,,,,,,,,,,,,,,,,,,,,"831.914,12",total,,
,,,,,,,,,,,,,,,,,,,,,"52.079,12",,,
