,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,mar 01/jun 21,"0,00",
,,,,,,,,,,,,,,mié 02/jun 21,"400,00",pan limpieza tomates
,,,,,,,,,,,,,,jue 03/jun 21,"1.680,00",lomo y birra
,,,,,,,,,,,,,,vie 04/jun 21,"390,00",tomates pan futbol
GASTOS,,,,PAGOS,,,,INGRESOS,,,sáb 05/jun 21,"0,00",,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,dom 06/jun 21,"0,00",
lun 7 de jun de 21,"1.180,00",pollo y huevos,,,mar 1 de jun de 21,"3.157,05",préstamo,,,mar 1 de jun de 21,"-12.478,66",Resto,,lun 07/jun 21,"820,00",pna tomates tabaco futbol
vie 18 de jun de 21,"930,00",pata muslos,,,mar 8 de jun de 21,"21.000,00",alquler,,,mar 1 de jun de 21,"68.685,60",sueldo,,mar 08/jun 21,"1.730,00",pan birra y lomo
sáb 26 de jun de 21,"1.370,00",pollo y huevos,,,vie 4 de jun de 21,"1.719,00",telefono,,,,"12,13",intereses,,mié 09/jun 21,"0,00",
vie 4 de jun de 21,"7.000,00",suplementos,,,sáb 29 de may de 21,"4.703,00",osde,,,TOTAL,"56.219,07",,,jue 10/jun 21,"740,00",milanesas tomates peluca
jue 10 de jun de 21,"450,00",agua PSA,,,,,,,, ,,,,vie 11/jun 21,"190,00",papa pan mayo
,,,,,mié 2 de jun de 21,"2.500,00",gym,,,DIARIO,Días restantes,Días totales,,sáb 12/jun 21,"0,00",
,,,,,,,,,,450,1,30,,dom 13/jun 21,"0,00",
,,,,,mar 1 de jun de 21,"10.787,49",auto,,,,,29,,lun 14/jun 21,"400,00",pan queso tomates
,,,,,mié 19 de may de 21,"1.725,50",internet,,,TOTAL,13500,GASTADO,,mar 15/jun 21,"190,00",pan papas mayonesa
,,,,,mar 1 de jun de 21,"750,00",comision(?),,,RESTO,60,463,,mié 16/jun 21,"280,00",huevos
,,,,,mié 19 de may de 21,"550,00",gas,,,SALDO,60,13440,,jue 17/jun 21,"1.520,00",lomo papas
,,,,,lun 14 de jun de 21,"4.253,00",luz,,,,,,,vie 18/jun 21,"50,00",pan
,,,,,,,,,,SALDO,,,,sáb 19/jun 21,"200,00",coca y pan
,,,,,,,,,,,,,,dom 20/jun 21,"0,00",
,,,,,,,,,,TOTAL,"-19.295,97",,,lun 21/jun 21,"0,00",
,,,,,,,,,,,"-6817,31",,,mar 22/jun 21,"50,00",pan
,,,,,,,,,,,,,,mié 23/jun 21,"1.050,00",futbol asado
,,,,,,,,,,,,,,jue 24/jun 21,"885,00",tabaco y jabon
,,,,,,,,,,,,,,vie 25/jun 21,"315,00",futbol
,,,,,,,,,,"27.150,00","1.500,00",,,sáb 26/jun 21,"50,00",pan
TOTAL,"10.930,00",,,,TOTAL,"51.145,04",,,,,28650,,,dom 27/jun 21,"1.000,00",hamburguesa
,,,,,,,,,,,,,,lun 28/jun 21,"850,00",camisetas
,,,,,,,,,,,,,,mar 29/jun 21,"650,00",panchos
,,,,,,,,,,,,,,mié 30/jun 21,,
pollo,3480,,,,,,,,,,,,,jue 01/jul 21,,
lomos,4930,,,,,,,,,,,,,,,
gastos diarios,8510,,,,,,,,,,,,,,,
por dia,"283,666666666667",,,,,,,,,,,,,,,
de mas,11930,,,,,,,,,,,,,,,
,"-7365,97",,,,,,,,,,,,,,,
,"-3112,97",,,,,,,,,,,,,,,
