,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,mar 01/mar 22,"2.480,00",lomo birras
,,,,,,,,,,,,,,mié 02/mar 22,"1.460,00",futbol helado
,,,,,,,,,,,,,,jue 03/mar 22,"0,00",
,,,,,,,,,,,,,,vie 04/mar 22,"0,00",
GASTOS,,,,PAGOS,,,,INGRESOS,,,sáb 05/mar 22,"4.060,00",salida,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,dom 06/mar 22,"790,00",cabify
mar 1 de mar de 22,"7.888,00",repuestos,,,mié 2 de mar de 22,"3.057,94",préstamo,,,,"28.828,02",Resto,,lun 07/mar 22,"2.000,00",lomo
mié 2 de mar de 22,"300,00",frenos bici,,,mié 9 de mar de 22,"31.800,00",alquler,,,dom 1 de may de 22,"111.650,22",sueldo,,mar 08/mar 22,"0,00",
vie 4 de mar de 22,"11.200,00",prote crea,,,mié 2 de mar de 22,"2.335,00",telefono,,,vie 25 de mar de 22,"5.000,00",mama,,mié 09/mar 22,"350,00",pan futbol
lun 14 de mar de 22,"13.320,36",ram's,,,mié 2 de mar de 22,"6.917,19",osde,,,TOTAL,"145.478,24",,,jue 10/mar 22,"2.090,00",asado
,"2.575,80",(?),,,,,,,, ,,,,vie 11/mar 22,"50,00",pan
jue 17 de mar de 22,"2.200,00",bici,,,mié 2 de mar de 22,"2.500,00",gym,,,DIARIO,Días restantes,Días totales,,sáb 12/mar 22,"100,00",pan
jue 17 de mar de 22,"450,00",baño,,,lun 7 de mar de 22,"2.200,00",boxing club,,,670,1,31,,dom 13/mar 22,"0,00",
dom 27 de mar de 22,"4.000,00",cumple nat,,,mié 2 de mar de 22,"10.705,97",auto,,,,,30,,lun 14/mar 22,"1.260,00",futbol birras pelu
,,,,,mié 2 de mar de 22,"2.817,00",internet,,,TOTAL,20770,GASTADO,,mar 15/mar 22,"70,00",mayo
,,,,,,,,,,RESTO,60,690,,mié 16/mar 22,"360,00",futbol pan
,,,,,mié 2 de mar de 22,"5.612,75",bici,,,SALDO,60,20710,,jue 17/mar 22,"460,00",birras
,,,,,mié 2 de mar de 22,"2.753,00",zapas,,,,,,,vie 18/mar 22,"1.070,00",helado papas pan
sáb 5 de mar de 22,"300,00",fiambre,,,lun 14 de mar de 22,"1.157,07",luz,,,SALDO,,,,sáb 19/mar 22,"2.080,00",filtos pan y jamon y queso fernet zero
mar 8 de mar de 22,"1.700,00",pollo y huevos,,,,,,,,,,,,dom 20/mar 22,"340,00",
mar 15 de mar de 22,"1.220,00",pollo,,,vie 4 de mar de 22,"904,12",comision(?),,,TOTAL,"954,04",,,lun 21/mar 22,"50,00",pan
mar 22 de mar de 22,"1.880,00",combo tabaco,,,,,,,,,"-27873,98",,,mar 22/mar 22,"0,00",
lun 21 de mar de 22,"750,00",huevos y tomates,,,,,,,,,,,,mié 23/mar 22,"0,00",
mar 22 de mar de 22,"650,00",yerba,,,,,,,,,,,,jue 24/mar 22,"0,00",
vie 25 de mar de 22,"1.520,00",pollo,,,,,,,,,,,,vie 25/mar 22,"590,00",pan fiambre
mar 29 de mar de 22,"1.100,00",frutas fiambres,,,,,,,,,,,,sáb 26/mar 22,"800,00",birras
TOTAL,"51.054,16",,,,TOTAL,"72.760,04",,,,,,,,dom 27/mar 22,"100,00",algo
,,,,,,,,,,,,,,lun 28/mar 22,"0,00",
,,,,,,,,,,SALDO BANCO,"54,04",,,mar 29/mar 22,"0,00",
,,,,,,,,,,EFECTIVO,900,,,mié 30/mar 22,"30,00",
,,,,,,,,,,TOTAL,"954,04",,,jue 31/mar 22,"120,00",pan y tortas
,,,,,,,,,DIF,DINERO-CALCULO,"-8,18545231595635E-12",,,,,
