TARJETA,,0,,,eze(?),224320,,,,presentismoo,"45767,4600000001",,,GASTO DIARIO,,,INTMP,,,,,
ALQUILER EZE,230000,,,,,,,,,,,,,sáb 01/mar 25,,,sáb 01/mar 25,,GASTOS,"484.960,77",dolar blue,porHora
auto,,,,,total,224320,-2840,,,,,,,dom 02/mar 25,,,dom 02/mar 25,,PAGOS,"468.392,82",1220,40hsSem
trading,,,,,,,454320,,,,,,,lun 03/mar 25,,,lun 03/mar 25,,DIARIO,155310,minDolar,6
,,,,,,--->>>,224320,,,INGRESOS,,,mar 04/mar 25,"15.800,00",subeMila,mar 04/mar 25,,costoVida,"1.108.663,59",909,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,mié 05/mar 25,"1.680,00",pan,mié 05/mar 25,"69,81",VERDADERO,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"6.065,16",Resto,,jue 06/mar 25,"18.000,00",subeMilaBirras,jue 06/mar 25,"0,83","534.960,77",FECHA,MONTO,CONCEPTO
,"0,00",mastercard,,,lun 10 de mar de 25,"380.000,00",alquler,,,sáb 1 de mar de 25,"962.006,83",sueldo,,vie 07/mar 25,"13.300,00",milaLaVuelta,vie 07/mar 25,"7,65","244.072,82",,,varios
mié 5 de mar de 25,"134.366,27",visa,,,lun 10 de mar de 25,"10.620,00",agua,,,,"5.771,55",inversiones,,sáb 08/mar 25,"14.000,00",subeMila,sáb 08/mar 25,,155310,sáb 1 de mar de 25,"8.100,00",pollo
sáb 1 de mar de 25,"45.499,39",notebook(4/12),,,lun 10 de mar de 25,"8.700,00",edesur,,,,,sueldoExtra,,dom 09/mar 25,,,dom 09/mar 25,,total,dom 2 de mar de 25,"11.400,00",asado
sáb 1 de mar de 25,"8.493,12",mallaRelog(2/6),,,lun 10 de mar de 25,"25.000,00",internet,,,TOTAL,"973.843,54",,,lun 10/mar 25,,,lun 10/mar 25,"3,01",934344,mié 5 de feb de 25,"50.980,00",limpieza
sáb 1 de mar de 25,"8.510,60",cajaMisterio(3/6),,,lun 10 de mar de 25,"30.000,00",gas,,, ,,,,mar 11/mar 25,,,mar 11/mar 25,"0,76",sueldoDolar,vie 7 de mar de 25,"11.870,00",frutasPollo
sáb 1 de mar de 25,"39.279,39",suple(1/3),,,dom 9 de mar de 25,"30.836,91",telefono,,,DIARIO,Días restantes,Días totales,,mié 12/mar 25,"2.000,00",sube,mié 12/mar 25,"4,98",766,dom 9 de mar de 25,"3.080,00",varios
sáb 1 de mar de 25,"17.014,00",tabaco(1/6),,,lun 10 de mar de 25,"40.500,00",gym,,,5010,3,31,,jue 13/mar 25,"3.200,00",panSube,jue 13/mar 25,"6,50",,mar 11 de mar de 25,"25.700,00",polloPan
mar 11 de mar de 25,"18.000,00",memoriaSD,,,,,,,,,,28,,vie 14/mar 25,"11.889,00",milaPedidosY,vie 14/mar 25,"5,70",sueldoDolar,mar 18 de mar de 25,"2.000,00",pan
,,,,,sáb 1 de mar de 25,"9.993,91",prestamoMeja,54,72,TOTAL,155310,GASTADO,,sáb 15/mar 25,,,sáb 15/mar 25,,porHora,mié 19 de mar de 25,"24.180,00",frutasPollo
,,,,,,"-67.258,00",ahorro,,,RESTO,-7874,6390,,dom 16/mar 25,"10.900,00",subeMila,dom 16/mar 25,,"6,00",lun 24 de mar de 25,"5.570,00",fiambre
,,,,,,,,,,SALDO,-23621,178931,,lun 17/mar 25,,,lun 17/mar 25,"12,95",mes,mié 26 de mar de 25,"14.008,00",comida
,,,,,,,,,,,,,,mar 18/mar 25,"13.800,00",milaLaVuelta,mar 18/mar 25,"0,13",960,jue 27 de mar de 25,"22.380,00",frutasPollo
,,,,,,,,,,SALDO,,,,mié 19/mar 25,,,mié 19/mar 25,"3,80",,sáb 29 de mar de 25,"6.600,00",panFiambre
,,,,,,,,,,,,,,jue 20/mar 25,"3.050,00",subePan,jue 20/mar 25,"15,48",,lun 31 de mar de 25,"27.930,00",cenaFlaco
,,,,,,,,,,TOTAL,"15.878,95","-24121,05",,vie 21/mar 25,"5.200,00",subaYerba,vie 21/mar 25,"8,69",diferencia,,,
,,,,,,,,,,,"-946127,880649995",,,sáb 22/mar 25,"1.312,00",pan,sáb 22/mar 25,,dolar,,,
,,,,,,,,,,,,,,dom 23/mar 25,"19.800,00",comilonaDom,dom 23/mar 25,,194,,,
,,,,,,"-227.160,00",eze,,,,,,,lun 24/mar 25,"2.000,00",sube,lun 24/mar 25,,pesos,,,
,,,,,,,,,,,,,,mar 25/mar 25,"1.500,00",pan,mar 25/mar 25,"26,08",236856,,,
,"50.000,00",paracaidas,,,,"2.840,00",retro,,,rendimientosReservas,"5771,55",,,mié 26/mar 25,"17.700,00",futbol,mié 26/mar 25,"2,77",,,,
TOTAL,"534.960,77",,,,TOTAL,"244.072,82",,,,,,,,jue 27/mar 25,"1.300,00",sube,jue 27/mar 25,"0,04",,TOTAL,"213.798,00",
,,,,,,,,,,saldoMercadoPago,"15.802,81",,,vie 28/mar 25,"13.300,00",milaLaVuelta,vie 28/mar 25,"3,91",casa,Estipulado,155000,
,,,,,,,,,,saldoBanco,"55,18",,,sáb 29/mar 25,"2.000,00",sube,sáb 29/mar 25,,118428,promedioReal,"83482,75",
,,,,,,,,,,efectivo,,,,dom 30/mar 25,,,dom 30/mar 25,,,promedioCalculado,92277,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"15857,994673333",,,lun 31/mar 25,"7.200,00",panPelu,lun 31/mar 25,"8,92",,por semana,82100,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-20,9546766717121",,,,,,TOTAL,"182,01",,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,,TRANSFERENCIAS,,,
,,,,,,,,,,FECHA,MONTO,CONCEPTO,,,,,,,,FECHA,MONTO,CONCEPTO
