,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,sáb 01/may 21,,
,,,,,,,,,,,,,,dom 02/may 21,"610,00",helado
,,,,,,,,,,,,,,lun 03/may 21,"300,00",frutas y verduras
,,,,,,,,,,,,,,mar 04/may 21,"0,00",
GASTOS,,,,PAGOS,,,,INGRESOS,,,mié 05/may 21,"60,00",pan,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,jue 06/may 21,"910,00",cena con diego
lun 10 de may de 21,"1.700,00",pollo aceite,,,lun 3 de may de 21,"3.166,77",préstamo,,,,"-2.125,52",Resto,,vie 07/may 21,"470,00",pan verduras fubol
mar 18 de may de 21,"900,00",pollo  ,,,mar 11 de may de 21,"21.000,00",alquler,,,vie 30 de abr de 21,"61.477,25",sueldo,,sáb 08/may 21,"1.000,00",lomo
lun 31 de may de 21,"900,00",pollo,,,mié 5 de may de 21,"3.091,00",telefono,,,,,,,dom 09/may 21,"0,00",
lun 31 de may de 21,"2.730,00",super,,,lun 3 de may de 21,"4.353,18",osde,,,TOTAL,"59.351,73",,,lun 10/may 21,"1.100,00",pan frutas futbol focos
,,,,,,,,,, ,,,,mar 11/may 21,"350,00",tabaco
,,,,,mié 5 de may de 21,"2.500,00",gym,,,DIARIO,Días restantes,Días totales,,mié 12/may 21,"1.000,00",lomo
,,,,,,,,,,519,1,31,,jue 13/may 21,"130,00",pan y papas
,,,,,lun 3 de may de 21,"10.795,16",auto,,,,,30,,vie 14/may 21,"950,00",filtros y aritos
,,,,,jue 29 de abr de 21,"1.725,00",internet,,,TOTAL,16074,GASTADO,,sáb 15/may 21,"1.270,00",lomo y birras
,,,,,lun 3 de may de 21,"750,00",comision(?),,,RESTO,4,536,,dom 16/may 21,"0,00",
,,,,,lun 10 de may de 21,"650,00",luz,,,SALDO,4,16070,,lun 17/may 21,"1.070,00",pan y verduras futbol
,,,,,jue 13 de may de 21,"1.499,28",luz,,,,,,,mar 18/may 21,"0,00",
,,,,,,,,,,SALDO,,,,mié 19/may 21,"50,00",pan
,,,,,,,,,,,,,,jue 20/may 21,"0,00",
,,,,,,,,,,TOTAL,"-12.478,66",,,vie 21/may 21,"1.240,00",futbol y lomo
,,,,,,,,,,,"-10353,14",,,sáb 22/may 21,"840,00",cerveza pan y huevos
,,,,,,,,,,,,,,dom 23/may 21,"0,00",
,,,,,,,,,,,,,,lun 24/may 21,"750,00",lomo
,,,,,,,,,,total,16070,,,mar 25/may 21,"0,00",
,,,,,,,,,,necesario,"6.550,00","211,290322580645",,mié 26/may 21,"300,00",milanesas y pan
TOTAL,"6.230,00",,,,TOTAL,"49.530,39",,,,DISPENSABLE,"9520,00","307,096774193548",,jue 27/may 21,"2.700,00",nafta y lomo
,,,,,,,,,,,,,,vie 28/may 21,"0,00",
,,,,,,,,,,,,,,sáb 29/may 21,"470,00","pan, queso, tomates"
,,,,,,,,,,,,,,dom 30/may 21,"0,00",
,,,,,,,,,,,,,,lun 31/may 21,"500,00",huevos y futbol
