TARJETA,30000,"-14637,9333333333",,,,,,,,,,,,GASTO DIARIO,,,
,,,,,,,,,,,,,,lun 01/may 23,"2.200,00",fiambre,
,,,,,,,,,,,,,,mar 02/may 23,"2.040,00",comilona,
,,,,,,,,,,,,,,mié 03/may 23,"960,00",mostaza,
,,,,,,,,,,INGRESOS,,,jue 04/may 23,,,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,vie 05/may 23,"3.200,00",comilona,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"217.019,22",Resto,,sáb 06/may 23,,,
mié 3 de may de 23,"44.637,93",tarjeta,,,,"-24.479,00",(?),,,vie 1 de sep de 23,"282.076,00",sueldo,,dom 07/may 23,,,
sáb 29 de abr de 23,"160.000,00",contratoAlqu,,,sáb 29 de abr de 23,"10.521,04",prestamo meja,,,mié 3 de may de 23,"53.205,48",plazo fijo,,lun 08/may 23,,,
dom 30 de abr de 23,"4.230,00",sube,,,sáb 29 de abr de 23,"11.140,55",prestamo new,,,vie 12 de may de 23,"85.000,00",adelantoHab,,mar 09/may 23,"5.930,00",comidaVicky,
mar 2 de may de 23,"42.000,00",butacas,,,sáb 29 de abr de 23,"12.555,21",prestamo fibra,,,TOTAL,"637.300,70",,,mié 10/may 23,,,
mar 2 de may de 23,"70.000,00",mehaLuces,,,mar 25 de abr de 23,"14.807,63",osde,,, ,,,,jue 11/may 23,,,
mar 2 de may de 23,"30.000,00",mehaVarios,,,dom 23 de abr de 23,"2.479,39",telefono,,,DIARIO,Días restantes,Días totales,,vie 12/may 23,,,
mar 2 de may de 23,"43.400,00",contratoAlqu,,,sáb 27 de may de 23,"7.744,21",superCarneFrutas,,,1200,4,31,,sáb 13/may 23,,,
mié 3 de may de 23,"13.300,00",prote,,,lun 15 de may de 23,"7.500,00",gym,,,,,27,,dom 14/may 23,"1.840,00",tabaco,
mié 3 de may de 23,"5.230,53",limpieza,,,vie 26 de may de 23,"3.500,00",filtrosTaba,,,TOTAL,37200,GASTADO,,lun 15/may 23,"500,00",sube,
mié 3 de may de 23,"900,00",lavadero,,,dom 14 de may de 23,"1.092,78",agua,,,RESTO,14,1376,,mar 16/may 23,"1.350,00",futbolTabaco,
sáb 13 de may de 23,"95.000,00",mudanza,,,lun 15 de may de 23,"5.735,00",superPataLimp,,,SALDO,57,37143,,mié 17/may 23,,,
mar 9 de may de 23,"500,00",sube,,,lun 15 de may de 23,"1.690,00",frutas,,,,,,,jue 18/may 23,,,
