TARJETA,25000,-55600,,,08/05/24,90000,eze,,,aumento(?),"45358,26",,,GASTO DIARIO,,,INTMP,,,,,
,,,,,10/05/24,30000,,,,porcentaje,"5,68461472568457",,,mié 01/may 24,,,mié 01/may 24,,GASTOS,"510.984,52",,
,,,,,14/05/24,"70.000,00",29700,,,,,,,jue 02/may 24,"3.600,00",pastis,jue 02/may 24,"4,18",PAGOS,"385.045,64",,
,,,,,total,149700,,,,,,,,vie 03/may 24,"3.850,00",pelu,vie 03/may 24,"1,36",DIARIO,99000,,
,,,,,,,,,,INGRESOS,,,sáb 04/may 24,"21.400,00",,sáb 04/may 24,,costoVida,"995030,16",,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,dom 05/may 24,,,dom 05/may 24,,,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"3.418,03",Resto,,lun 06/may 24,"2.500,00",sube,lun 06/may 24,"187,82",,FECHA,MONTO,CONCEPTO
mié 8 de may de 24,"80.600,00",mastercard,,,lun 13 de may de 24,"269.123,52",alquler,,,mar 7 de may de 24,"843.270,91",sueldo,,mar 07/may 24,,,mar 07/may 24,"14,73",,,,
mié 8 de may de 24,"239.597,52",visa,,,mié 1 de may de 24,"10.280,08",prestamo meja,,,,"6.927,63",inversiones,,mié 08/may 24,,,mié 08/may 24,"22,36",,jue 2 de may de 24,"12.615,00",papaPolloHue
mié 1 de may de 24,"5.800,00",lucasOf,,,mié 1 de may de 24,"10.611,50",prestamo new,,,,,,,jue 09/may 24,,,jue 09/may 24,"1,75",,vie 3 de may de 24,"10.600,00",superTomLimp
mié 15 de may de 24,"18.000,00",dentista,,,mié 1 de may de 24,"11.539,33",prestamo fibra,,,TOTAL,"853.616,57",,,vie 10/may 24,,,vie 10/may 24,"1,78",,dom 5 de may de 24,"1.062,00",pan
vie 3 de may de 24,"1.800,00",fotocopiaCeni,,,lun 13 de may de 24,"78.616,69",osde,,, ,,,,sáb 11/may 24,,,sáb 11/may 24,,,lun 6 de may de 24,"8.760,00",lentejas
vie 24 de may de 24,"20.700,00",joda,,,mar 7 de may de 24,"7.996,31",telefono,,,DIARIO,Días restantes,Días totales,,dom 12/may 24,,,dom 12/may 24,,,mar 7 de may de 24,"7.500,00",polloPan
,,,,,lun 13 de may de 24,"39.270,00",gym,,,3300,1,30,,lun 13/may 24,"2.500,00",sube,lun 13/may 24,"12,91",,jue 9 de may de 24,"4.200,00",jamonQueso
,,,,,mié 1 de may de 24,"14.386,49",prestamoBsAS,,,,,29,,mar 14/may 24,"4.400,00",tabacoEfe,mar 14/may 24,"0,76",,sáb 11 de may de 24,"10.650,00",carni
,,,,,,,,,,TOTAL,99000,GASTADO,,mié 15/may 24,,,mié 15/may 24,"3,29",,sáb 11 de may de 24,"8.680,00",verdu
,,,,,,"6.288,71",edesur,,,RESTO,492,3397,,jue 16/may 24,,,jue 16/may 24,"2,80",,lun 13 de may de 24,"830,00",pan
,,,,,mié 1 de may de 24,"17.999,00",internet,,,SALDO,492,98508,,vie 17/may 24,,,vie 17/may 24,"2,82",,mar 14 de may de 24,"20.350,00",super
,,,,,,"1.500,00",comision(?),,,,,,,sáb 18/may 24,"4.200,00",alfajoresSube,sáb 18/may 24,,,mié 15 de may de 24,"21.160,00",polloPanTom
,,,,,lun 6 de may de 24,"3.589,00",poliza,,,SALDO,,,,dom 19/may 24,"6.050,00",milas,dom 19/may 24,,,vie 17 de may de 24,"14.250,00",variosMayo
,,,,,mié 1 de may de 24,"7.156,65",gas,,,,,,,lun 20/may 24,"5.700,00",milaFritasCash,lun 20/may 24,"8,17",,lun 20 de may de 24,"4.510,00",fiambrePan
,,,,,,"-33.292,50",sobrante(?),,,TOTAL,"8.778,41","-31221,59",,mar 21/may 24,"3.850,00",pelu,mar 21/may 24,"6,65",,mié 22 de may de 24,"14.480,00",polloVerdus
,,,,,,"-40.300,00",ezeEntrada,,,,"-834492,505",,,mié 22/may 24,,,mié 22/may 24,"3,02",,sáb 25 de may de 24,"1.400,00",pan
,,,,,,"-19.719,14",ahorro,,,,,,,jue 23/may 24,"500,00",gomero,cierreTarjeta,"2,98",,lun 27 de may de 24,"2.340,00",verds
,,,,,,"-152.078,44",eze,,,,,,,vie 24/may 24,"7.900,00",alfajoresSube,vie 24/may 24,"2,54",,mié 29 de may de 24,"1.100,00",pan
,,,,,,,,,,,,,,sáb 25/may 24,,,sáb 25/may 24,,,,,
,,,,,,"2.378,44",retro,,,rendimientosReservas,"6927,63",,,dom 26/may 24,,,dom 26/may 24,,,,,
TOTAL,"510.984,52",,,,TOTAL,"235.345,64",,,,,,,,lun 27/may 24,"1.170,00",tabaco,lun 27/may 24,"6,46",,TOTAL,"144.487,00",
,,,,,,,,,,saldoMercadoPago,"8.348,14",,,mar 28/may 24,"1.430,00",tabaco,mar 28/may 24,"11,54",,,,
,,,,,,,,,,saldoBanco,"430,25",,,mié 29/may 24,"2.000,00",sube,mié 29/may 24,"8,45",,,,
,,,,,,,,,,efectivo,"0,00",,,jue 30/may 24,,,jue 30/may 24,"994,54",,,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"8778,39000000006",,,vie 31/may 24,,,vie 31/may 24,"7,44",,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-0,01500000031956",,,,,,TOTAL,"1308,35",,,,
,,,,,dom 26 de may de 24,"13.829,00",pedidosYa,,,,,,,,,,,,,,,
,,,,,mar 28 de may de 24,"13.629,00",pedidosYa,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,,,,
jue 28 de mar de 24,"66.000,00",LaRenga,,,,,,,,FECHA,MONTO,CONCEPTO,,agua,,"293,66",,,20/05/24,,,
dom 31 de mar de 24,"14.600,00",LaRenga,,,,,,,,ocho/doce,"21.958,33",brackets,,osde,,"1184,84",,,13/05/24,,,
,,,,,,,,,,ocho/doce,"1.657,44",jetSmart,,gas,,"46,65",,,06/05/24,,,
,,,,,,,,,,seis/seis,"21.665,00",mochi,,,,,,,,,,
,,,,,,,,,,cuatro/seis,"4.524,00",farmacia,,semanaSeg,,0,0,,,,,
,,,,,,,,,,cuatro/seis,"2.569,43",espejoMeha,,semanaTer,,0,0,,,,,
,,,,,,,,,,tres/tres,"19.138,29",patente,,semanaCua,,0,0,,,,,
,,,,,,,,,,una/seis,"24.998,33",mochi,,,,,,,,,,
,,,,,,,,,,uno/tres,"13.000,42",chalecoNa,,,,,,,,,,
,,,,,,,,,,,,,,alquiler,,"3517,08",,,,,,
,,,,,,,,,,,,,,dentista,,"453,98",,,,,,
,,,,,,,,,,dom 24 de mar de 24,"14.000,03",nafta,x,ahorro,,"123,07",,,,,,
,,,,,,,,,,uno/tres,"78.291,35",borcegos,,,,0,0,,,,,
,,,,,,,,,,,"-40,11",,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,total,0,"5619,28",0,,,,,
TOTAL,"80.600,00",,,,TOTAL,"27.458,00",,,,TOTAL,"239.597,52",,,,INV,REND,TOTAL,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,vie 29 de mar de 24,"6.165,00",pedidosYa,,,,,,,,,,
,,,,,,,,,,mar 2 de abr de 24,"6.350,00",pedidosYa,,,,,,,,,,
,,,,,,,,,,sáb 6 de abr de 24,"12.650,00",pedidosYa,,,,,,,,,,
,,,,,,,,,,jue 11 de abr de 24,"12.670,00",pedidosYa,,,,,,,,,,
