TARJETA,,0,,,eze(?),174320,,,,aumento,"29324,47",,,GASTO DIARIO,,,INTMP,,,,,,,
ALQUILER EZE,280000,,,,,,,,,,,,,jue 01/may 25,,,jue 01/may 25,,GASTOS,"3.227.899,13",dolar blue,porHora,,
auto,,,,,total,174320,-52840,,,,,,,vie 02/may 25,"8.000,00",peluSube,vie 02/may 25,,PAGOS,"781.436,68",1125,40hsSem,,
trading,,,,,,,454320,,,,,,,sáb 03/may 25,"20.150,00",tortiMila,sáb 03/may 25,,DIARIO,187860,minDolar,23,,
,,,,,,--->>>,174320,,,INGRESOS,,,dom 04/may 25,"2.000,00",sube,dom 04/may 25,,costoVida,"4.197.195,81",3731,,,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,lun 05/may 25,"15.800,00",mila,lun 05/may 25,"54,16",VERDADERO,GASTOS EXTRAS,,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"125.602,44",Resto,,mar 06/may 25,"9.400,00",panMilas,mar 06/may 25,"1,88","3.227.899,13",FECHA,MONTO,CONCEPTO,,
,"0,00",mastercard,,,jue 8 de may de 25,"380.000,00",alquler,,,sáb 1 de mar de 25,"1.100.153,57",sueldo,,mié 07/may 25,"2.000,00",sube,mié 07/may 25,"7,95","607.116,68",,,varios,,
mié 7 de may de 25,"202.212,80",visa,,,jue 8 de may de 25,"10.620,00",agua,,,,"16.208,09",inversiones,,jue 08/may 25,,,jue 08/may 25,"2,23",187860,jue 1 de may de 25,"23.700,00",1eroMayo,,
jue 1 de may de 25,"45.499,39",notebook(6/12),,,jue 8 de may de 25,"8.700,00",edesur,,,vie 16 de may de 25,"3.000.000,00",préstamo,,vie 09/may 25,"2.000,00",sube,vie 09/may 25,"1,67",total,vie 2 de may de 25,"12.050,00",polloTuca,,
jue 1 de may de 25,"8.510,60",cajaMisterio(4/6),,,jue 8 de may de 25,"25.000,00",internet,,,TOTAL,"4.241.964,10",,,sáb 10/may 25,,,sáb 10/may 25,,4022876,dom 4 de may de 25,"14.300,00",panFerrTorLap,,
jue 1 de may de 25,"39.279,39",suple(3/3),,,jue 8 de may de 25,"30.000,00",gas,,, ,,,,dom 11/may 25,"4.900,00",subeTortilla,dom 11/may 25,,sueldoDolar,mar 6 de may de 25,"6.550,00",yerbaTom,,
jue 1 de may de 25,"17.013,98",tabaco(3/6),,,mié 7 de may de 25,"32.940,00",telefono,,,DIARIO,Días restantes,Días totales,,lun 12/may 25,,,lun 12/may 25,"43,02",3576,jue 8 de may de 25,"11.300,00",milasPanEgg,,
mié 14 de may de 25,"6.700,00",cremaPie,,,jue 8 de may de 25,"79.000,00",gym,,,6060,1,31,,mar 13/may 25,,,mar 13/may 25,"4,12",,vie 9 de may de 25,"22.200,00",avenaTucaPollo,,
sáb 17 de may de 25,"336.770,86",cascoGuantes,,,,,Osde | dientes,,,,,30,,mié 14/may 25,"2.000,00",sube,mié 14/may 25,"3,37",sueldoDolar,mar 13 de may de 25,"16.200,00",varios,,
lun 19 de may de 25,"121.968,00",multas,,,lun 5 de may de 25,"9.924,68",prestamoMeja,56,72,TOTAL,187860,GASTADO,,jue 15/may 25,"11.000,00",birraMila,jue 15/may 25,"6,83",porHora,mié 14 de may de 25,"23.600,00",desayunoAceite,,
mar 20 de may de 25,"21.502,06",farmacia,,,jue 8 de may de 25,"220.000,00",mesPasado,,,RESTO,31,6261,,vie 16/may 25,"2.000,00",sube,vie 16/may 25,"6,13","6,00",mié 14 de may de 25,"41.000,00",comidaTucu,,
lun 26 de may de 25,"2.100.000,00",moto,,,sáb 31 de may de 25,"-14.748,00",dif(?),,,SALDO,31,187829,,sáb 17/may 25,"18.500,00",milaBirra,sáb 17/may 25,,mes,vie 16 de may de 25,"16.900,00",tucaLimpPan,,
mar 27 de may de 25,"32.244,05",tapaCombFiltro,,,,,,,,,,,,dom 18/may 25,,,dom 18/may 25,,960,dom 18 de may de 25,"17.600,00",milasPanEgg,,
mar 27 de may de 25,"5.198,00",mallaAmazfit,,,,,,,,SALDO,,,,lun 19/may 25,"2.000,00",sube,lun 19/may 25,"9,20",,jue 22 de may de 25,"25.500,00",tucaPolloYerPap,,
,,,,,,,,,,,,,,mar 20/may 25,,,mar 20/may 25,"0,25",,lun 26 de may de 25,"8.100,00",pollo,,
,,,,,,,,,,TOTAL,"219.119,28","179119,28",,mié 21/may 25,"7.500,00",milas,mié 21/may 25,"12,10",diferencia,mar 27 de may de 25,"18.800,00",cenaFestejo,,
,,,,,,,,,,,"-881034,287643332",,,jue 22/may 25,"1.500,00",pan,cierreTarjeta,"7,53",dolar,mié 28 de may de 25,"6.200,00",tucaPan,,
,,,,,,,,,,,,,,vie 23/may 25,"4.600,00",subeGalletas,vie 23/may 25,"9,48",-2616,sáb 31 de may de 25,"27.000,00",cena,,
,,,,,jue 8 de may de 25,"-227.160,00",eze,,,,,,,sáb 24/may 25,"1.800,00",pan,sáb 24/may 25,,pesos,,,,,
,,,,,,,,,,,,,,dom 25/may 25,"11.000,00",desayunoMarybell,dom 25/may 25,,-2942876,,,,,
,,paracaidas,,,jue 8 de may de 25,"52.840,00",retro,,,rendimientosReservas,"16208,09",,,lun 26/may 25,"5.200,00",birraFestejo,lun 26/may 25,"7,72",,,,,,
TOTAL,"3.227.899,13",,,,TOTAL,"607.116,68",,,,,,,,mar 27/may 25,"5.400,00",subeTortilla,mar 27/may 25,"128,07",,TOTAL,"291.000,00",,,
,,,,,,,,,,saldoMercadoPago,"7.119,30",,,mié 28/may 25,"2.000,00",sube,mié 28/may 25,"24,56",casa,Estipulado,250000,,,
,,,,,,,,,,saldoBanco,"1.368,15",,,jue 29/may 25,"7.500,00",mila,jue 29/may 25,"5,68",-1471438,promedioReal,"109457,25",,,
,,,,,,,,,,efectivo,"200,00",,,vie 30/may 25,"7.050,00",yerbaSube,vie 30/may 25,"5,67",,promedioCalculado,119715,,,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"8687,44767999991",,,sáb 31/may 25,"19.700,00",milaBirra,sáb 31/may 25,,,por semana,82100,,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-210431,834676668",,,,,,TOTAL,"341,62",,,,,,
,,,,,sáb 10 de may de 25,"14.829,00",pedidosYa,,,,,,,,,,,,,,,,,
,,,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,,TRANSFERENCIAS,,,,,
,,,,,,,,,,FECHA,MONTO,CONCEPTO,,,,,,,,FECHA,MONTO,CONCEPTO,,
,,,,,,,,,,disney+,"15.299,00",nivel6,,emergencia,"0,00",,0,,,jue 1 de may de 25,"905.000,00",sueldo,,
,,,,,,,,,,ocho/nueve,"18.493,92",pasajes,,ahorroWuu,"39.745,83","254,17",40000,,,jue 1 de may de 25,"7.500,00",vueltaPorError,,-7500
,,,,,,,,,,seis/doce,"4.915,75",bermudaAdidas,,,,,,,,,,ahorro,,
,,,,,,,,,,cinco/seis,"19.830,00",blancoNegro,,dentista,"169.035,38","1396,71","170432,09",,,jue 8 de may de 25,"500.000,00",alquiler,,
,,,,,,,,,,cinco/doce,"1.249,92",mouse,,,,,,,,vie 16 de may de 25,"2.663.000,00",préstamo,,
,,,,,,,,,,cuatro/doce,"5.425,00",shortsRosario,,,,,,,,,,,,
,,,,,,,,,,tres/treinta,"9.571,60",monitor,,autito,,"1496,71",,,,,,,,
,,,,,,,,,,dos/tres,"9.866,67",llaveros,,emergencia,,"9778,45",,,,,,,,
,,,,,,,,,,vie 18 de abr de 25,"27.019,00",comida,,ahorroWuu,,"65,84",,,,,,,,
