,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,dom 01/nov 20,"1.800,00","britta, helado"
,,,,,,,,,,,,,,lun 02/nov 20,"1.339,00",super y tabaco
,,,,,,,,,,,,,,mar 03/nov 20,"500,00",pinchaduras
,,,,,,,,,,,,,,mié 04/nov 20,"500,00",bananas futbol
GASTOS,,,,PAGOS,,,,INGRESOS,,,jue 05/nov 20,"300,00",café diego,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,vie 06/nov 20,"540,00",barbijos
mar 3 de nov de 20,"2.491,00",Máquina corte,,,sáb 31 de oct de 20,"3.221,95",préstamo,,,sáb 31 de oct de 20,"-11.245,77",Resto,,sáb 07/nov 20,"1.000,00",juanma
sáb 31 de oct de 20,"192,02",intereses,,,lun 2 de nov de 20,"10.529,55",abuela,,,sáb 31 de oct de 20,"58.068,66",sueldo,,dom 08/nov 20,"0,00",
sáb 31 de oct de 20,"40,74",iva,,,dom 8 de nov de 20,"1.200,00",telefono,,,,,,,lun 09/nov 20,"0,00",
mar 3 de nov de 20,"3.615,00",varios,,,jue 26 de nov de 20,"3.989,07",osde,,,TOTAL,"46.822,89",,,mar 10/nov 20,"200,00",futbol
lun 9 de nov de 20,"2.165,00",bici,,,mié 11 de nov de 20,"1.367,00",sef/moto,,, ,,,,mié 11/nov 20,"200,00",huevos
mié 11 de nov de 20,"1.500,00",bici,,,mar 3 de nov de 20,"2.000,00",gym,,,DIARIO,Días restantes,Días totales,,jue 12/nov 20,"720,00","lomo, papa, cervez"
vie 13 de nov de 20,"122,22",whisky,,,sáb 31 de oct de 20,"10.836,34",auto,,,350,3,30,,vie 13/nov 20,"0,00",
mar 24 de nov de 20,"4.451,00",bici,,,,,,,,,,27,,sáb 14/nov 20,"0,00",
,"3.000,00",?,,,,,,,,TOTAL,10500,GASTADO,,dom 15/nov 20,"0,00",
,,,,,,,,,,RESTO,-580,453,,lun 16/nov 20,"1.000,00",bici futbol
,,,,,,,,,,SALDO,-1740,12240,,mar 17/nov 20,"1.000,00",asado
,,,,,,,,,,,,,,mié 18/nov 20,"0,00",
,,,,,,,,,,SALDO,,,,jue 19/nov 20,"0,00",
,,,,,,,,,,,,,,vie 20/nov 20,"370,00",limpieza
,,,,,,,,,,TOTAL,"-16.137,51",,,sáb 21/nov 20,"0,00",
,,,,,,,,,,,"-4891,74",,,dom 22/nov 20,"0,00",
,,,,,,,,,,,,,,lun 23/nov 20,"380,00",futbol
,,,,,,,,,,,,,,mar 24/nov 20,"0,00",
,,,,,,,,,,,,,,mié 25/nov 20,"350,00",futbol
,,,,,,,,,,,,,,jue 26/nov 20,"650,00",tabaco
TOTAL,"17.576,98",,,,TOTAL,"33.143,91",,,,,,,,vie 27/nov 20,"750,00","lomo, papa, cervez"
,,,,,,,,,,,,,,sáb 28/nov 20,"0,00",
,,,,,,,,,,,,,,dom 29/nov 20,"640,51",
,,,,,bici,8616,,,,,,,,lun 30/nov 20,"0,00",
,,,,,,,,,,,,,,mar 01/dic 20,"0,00",
