,,,,,,,,,,mesAnterior,"410.587,20",,,GASTO DIARIO,,,INTMP,,
,,,,,,,,,,diferencia,"108300,66",,,mié 01/nov 23,,,mié 01/nov 23,"1,98",
,,,,,,prestamosTotal,"49495,03",,,,,,,jue 02/nov 23,"4.200,04",mcBirras,jue 02/nov 23,"2,14",
,,,,,,,,,,,,,,vie 03/nov 23,,,vie 03/nov 23,"183,62",
,,,,,,,,,,INGRESOS,,,sáb 04/nov 23,,,sáb 04/nov 23,,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,dom 05/nov 23,"1.000,00",sube,dom 05/nov 23,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"671,97",Resto,,lun 06/nov 23,,,lun 06/nov 23,,
sáb 4 de nov de 23,"12.505,67",tarjeta,,,vie 10 de nov de 23,"84.500,00",alquler,,,mié 1 de nov de 23,"518.887,86",sueldo,,mar 07/nov 23,"1.800,00",pelu,mar 07/nov 23,"29,34",
sáb 4 de nov de 23,"54.726,08",visa,,,mié 1 de nov de 23,"10.412,23",prestamo meja,,,,"10.197,71",inversiones,,mié 08/nov 23,"2.700,00",birra,mié 08/nov 23,"6,70",
jue 2 de nov de 23,"53.000,00",tattoo,,,mié 1 de nov de 23,"11.092,90",prestamo new,,,,,,,jue 09/nov 23,,,jue 09/nov 23,"27,56",
mié 15 de nov de 23,"10.300,00",dentista,,,mié 1 de nov de 23,"12.397,05",prestamo fibra,,,TOTAL,"529.757,54",,,vie 10/nov 23,"5.400,00",lillos,vie 10/nov 23,"19,84",
lun 6 de nov de 23,"15.770,82",sombre,,,lun 13 de nov de 23,"22.758,31",osde,,, ,,,,sáb 11/nov 23,,,sáb 11/nov 23,,
mié 1 de nov de 23,"10.159,13",adelantoMP,,,mié 1 de nov de 23,"4.854,29",telefono,,,DIARIO,Días restantes,Días totales,,dom 12/nov 23,,,dom 12/nov 23,,
mié 1 de nov de 23,"30.009,00",dolarillos,,,sáb 11 de nov de 23,"8.900,00",gym,,,980,1,30,,lun 13/nov 23,"3.145,64",pastisTabaco,lun 13/nov 23,"59,69",
jue 2 de nov de 23,"30.000,00",marimba,,,mié 1 de nov de 23,"15.592,85",prestamoBsAS,,,,,29,,mar 14/nov 23,,,mar 14/nov 23,"2,84",
vie 3 de nov de 23,"5.000,00",tattooSeña,,,vie 17 de nov de 23,"5.500,00",kick,,,TOTAL,29400,GASTADO,,mié 15/nov 23,,,mié 15/nov 23,"6,17",
sáb 4 de nov de 23,"17.854,40",cremas,,,lun 6 de nov de 23,"2.763,32",edesur,,,RESTO,-951,1047,,jue 16/nov 23,,,jue 16/nov 23,"9,70",
vie 10 de nov de 23,"13.600,00",prote,,,mié 1 de nov de 23,"6.089,99",internet,,,SALDO,-951,30351,,vie 17/nov 23,"800,00",birra,vie 17/nov 23,"25,16",
lun 20 de nov de 23,"3.300,00",verdu,,,,"1.500,00",comision(?),,,,,,,sáb 18/nov 23,"6.100,00",birras,sáb 18/nov 23,,
vie 3 de nov de 23,"6.330,00",carni,,,sáb 4 de nov de 23,"1.497,00",poliza,,,SALDO,,,,dom 19/nov 23,"1.500,00",tabaco,dom 19/nov 23,,
lun 6 de nov de 23,"9.830,00",carni,,,lun 6 de nov de 23,"7.522,69",gas,,,,,,,lun 20/nov 23,"1.000,00",sube,lun 20/nov 23,,
lun 6 de nov de 23,"9.003,00",super,,,sáb 11 de nov de 23,"4.786,00",verduCarni,,,TOTAL,"12.614,61","-27385,39",,mar 21/nov 23,,,mar 21/nov 23,"100,32",
mar 7 de nov de 23,"880,00",verdu,,,lun 27 de nov de 23,"11.610,00",farmSupVerLim,,,,"-506273,251666667",,,mié 22/nov 23,,,mié 22/nov 23,"0,15",
sáb 11 de nov de 23,"5.220,00",verduCarni,,,mar 28 de nov de 23,"6.607,00",carni,,,,,,,jue 23/nov 23,,,cierreTarjeta,"0,42",
mar 14 de nov de 23,"3.730,00",pollo,,,jue 30 de nov de 23,"1.450,00",verdu,,,,,,,vie 24/nov 23,,,vie 24/nov 23,"0,42",
vie 17 de nov de 23,"8.460,00",superVerd,,,,"14.846,52",restoReser,,,,,,,sáb 25/nov 23,"1.500,00",tabaco,sáb 25/nov 23,,
sáb 18 de nov de 23,"6.934,00",carni,,,jue 9 de nov de 23,"-54.500,00",eze,,,rendimientosReservas,"10197,71",,,dom 26/nov 23,,,dom 26/nov 23,,
TOTAL,"306.612,10",,,,TOTAL,"180.180,15",,,,,,,,lun 27/nov 23,,,lun 27/nov 23,"1,24",
,,,,,,,,,,saldoMercadoPago,"11.544,51",,,mar 28/nov 23,"160,00",fotocopias,mar 28/nov 23,"10,85",
,,,,,,,,,,saldoBanco,"1.000,09",,,mié 29/nov 23,,,mié 29/nov 23,"15,00",
,,,,,,,,,,efectivo,"70,00",,,jue 30/nov 23,,,jue 30/nov 23,"10,29",
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"12614,6",,,vie 01/dic 23,"1.045,00",mcDesa,vie 01/dic 23,"10,48",,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-0,008333333309565",,,,,,TOTAL,"523,91",
