TARJETA,,0,,,eze(?),154320,,,,,"-697973,3625",,,GASTO DIARIO,,,INTMP,,,,,
ALQUILER EZE,300000,,,,,,,,,,,,,sáb 01/nov 25,,,sáb 01/nov 25,,GASTOS,"385.200,64",dolar blue,porHora
auto,,,,,total,154320,-72840,,,presentismo,"-697973,3625",,,dom 02/nov 25,,,dom 02/nov 25,,PAGOS,"492.850,87",1125,40hsSem
trading,,,,,,,454320,,,suplemento(?),,560000,,lun 03/nov 25,,,lun 03/nov 25,,DIARIO,86800,minDolar,5
,,,,,,--->>>,154320,,,INGRESOS,,,mar 04/nov 25,,,mar 04/nov 25,,costoVida,"964.851,51",858,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,mié 05/nov 25,,,mié 05/nov 25,,VERDADERO,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"73.898,77",Resto,,jue 06/nov 25,,,jue 06/nov 25,,"285.200,64",FECHA,MONTO,CONCEPTO
sáb 1 de nov de 25,"0,00",mastercard,,,sáb 1 de nov de 25,"380.000,00",alquler,,,sáb 1 de nov de 25,"232.657,79",sueldo,,vie 07/nov 25,,,vie 07/nov 25,,"492.850,87",,"200.000,00",varios
sáb 1 de nov de 25,"83.513,37",visa,,,,"10.620,00",agua,,,,"0,00",inversiones,,sáb 08/nov 25,,,sáb 08/nov 25,,86800,,,
,"45.499,39",Notebook(12/12),,,,"8.700,00",edesur,,,,"560.000,00",sueldoExtra,,dom 09/nov 25,,,dom 09/nov 25,,total,,,
,"26.780,00",animalPak(6/6),,,,"25.000,00",internet,,,TOTAL,"866.556,56",,,lun 10/nov 25,,,lun 10/nov 25,,864852,,,
,"29.407,88",variosMoto(5/6),,,,"30.000,00",gas,,, ,,,,mar 11/nov 25,,,mar 11/nov 25,,sueldoDolar,,,
,,,,,,"23.000,04",telefono,,,DIARIO,Días restantes,Días totales,,mié 12/nov 25,,,mié 12/nov 25,,769,,,
,,,,,,,gym,,,2800,30,31,,jue 13/nov 25,,,jue 13/nov 25,,,,,
,,,,,,,Osde | dientes,,,,,1,,vie 14/nov 25,,,vie 14/nov 25,,sueldoDolar,,,
,,,,,,"9.850,83",prestamoMeja,61,72,TOTAL,86800,GASTADO,,sáb 15/nov 25,,,sáb 15/nov 25,,porHora,,,
,,,,,,"160.000,00",prestamoMoto,5,60,RESTO,2893,0,,dom 16/nov 25,,,dom 16/nov 25,,"5,00",,,
,,,,,,,,,,SALDO,86800,0,,lun 17/nov 25,,,lun 17/nov 25,,mes,,,
,,,,,,,,,,,,,,mar 18/nov 25,,,mar 18/nov 25,,800,,,
,,,,,,,,,,SALDO,,,,mié 19/nov 25,,,mié 19/nov 25,,,,,
,,,,,,,,,,,,,,jue 20/nov 25,,,jue 20/nov 25,,,,,
,,,,,,,,,,TOTAL,"1.705,05","-38294,95",,vie 21/nov 25,,,vie 21/nov 25,,diferencia,,,
,,,,,,,,,,,"-230952,737806667",,,sáb 22/nov 25,,,sáb 22/nov 25,,dolar,,,
,,,,,,,,,,,,,,dom 23/nov 25,,,dom 23/nov 25,,31,,,
,,,,,,"-227.160,00",eze,,,,,,,lun 24/nov 25,,,lun 24/nov 25,,pesos,,,
,,,,,,,,,,,,,,mar 25/nov 25,,,mar 25/nov 25,,35148,,,
,"-100.000,00",paracaidas,,,,"72.840,00",retro,,,rendimientosReservas,0,,,mié 26/nov 25,,,mié 26/nov 25,,,,,
TOTAL,"285.200,64",,,,TOTAL,"492.850,87",,,,,,,,jue 27/nov 25,,,jue 27/nov 25,,,TOTAL,"200.000,00",
,,,,,,,,,,saldoMercadoPago,"345.736,12",,,vie 28/nov 25,,,vie 28/nov 25,,casa,Estipulado,200000,
,,,,,,,,,,saldoBanco,"342.422,70",,,sáb 29/nov 25,,,sáb 29/nov 25,,17574,promedioReal,0,
,,,,,,,,,,efectivo,,,,dom 30/nov 25,,,dom 30/nov 25,,,promedioCalculado,71700,
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"688158,820833335",,,lun 01/dic 25,,,lun 01/dic 25,,,por semana,82100,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"686453,77",,,,,,TOTAL,0,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,gastosTarjetaVisa,,,RESERVA,MONTO,GANADO,TOTAL,,vencimientos,TRANSFERENCIAS,,,
,,,,,,,,,,FECHA,MONTO,CONCEPTO,,autito,"0,00",,0,,,FECHA,MONTO,CONCEPTO
,,,,,,,,,,disney+,"18.399,00",nivel6,,emergencia,"491,72",,"491,720000000001",,,sáb 1 de nov de 25,"460.000,00",sueldo
,,,,,,,,,,doce/doce,"4.915,75",bermudaAdidas,,alquiler,"300.000,00",,,,,sáb 1 de nov de 25,"480.000,00",suplemento
,,,,,,,,,,once/doce,"1.249,92",mouse,,,,,,,,,"560.000,00",ahorroRescat
,,,,,,,,,,diez/doce,"5.425,00",shortsRosario,,,,,,,,,,
,,,,,,,,,,nueve/treinta,"9.571,60",monitor,,semanaTer,"71.700,00",0,71700,,,,,
