,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,vie 01/oct 21,"925,00",tabaco. Frutas
,,,,,,,,,,,,,,sáb 02/oct 21,"0,00",
,,,,,,,,,,,,,,dom 03/oct 21,"1.590,00",birra y lomo
,,,,,,,,,,,,,,lun 04/oct 21,"660,00",frutas y futbol
GASTOS,,,,PAGOS,,,,INGRESOS,,,mar 05/oct 21,"0,00",,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,mié 06/oct 21,"0,00",
,,,,,vie 1 de oct de 21,"3.115,36",préstamo,,,,"-11.932,00",Resto,,jue 07/oct 21,"827,00",almuerzo markos
vie 1 de oct de 21,"8.500,00",prote,,,mar 12 de oct de 21,"21.000,00",alquler,,,vie 1 de oct de 21,"92.814,34",sueldo,,vie 08/oct 21,"200,00",tomates
vie 1 de oct de 21,"2.800,00",cipio,,,sáb 9 de oct de 21,"1.298,00",telefono,,,,,,,sáb 09/oct 21,"50,00",pan
vie 1 de oct de 21,"1.600,00",creatina,,,vie 1 de oct de 21,"5.088,12",osde,,,TOTAL,"80.882,34",,,dom 10/oct 21,"0,00",
vie 1 de oct de 21,"1.300,00",hera cade bic,,,,,,,, ,,,,lun 11/oct 21,"0,00",
lun 4 de oct de 21,"2.747,50",super,,,vie 1 de oct de 21,"2.200,00",gym,,,DIARIO,Días restantes,Días totales,,mar 12/oct 21,"580,00",tomates y cerverxas
,,,,,mié 13 de oct de 21,"1.800,00",box,,,560,1,31,,mié 13/oct 21,"200,00",tomates
,,,,,vie 1 de oct de 21,"10.754,17",auto,,,,,30,,jue 14/oct 21,"50,00",pan
vie 8 de oct de 21,"1.430,00",pollo,,,mes pasado,,internet,,,TOTAL,17360,GASTADO,,vie 15/oct 21,"430,00",mila de pollo
mar 19 de oct de 21,"1.290,00",pollo y huevos,,,,"750,00",comision(?),,,RESTO,23,578,,sáb 16/oct 21,"1.400,00",fernet y cerve
vie 29 de oct de 21,"1.500,00",pollo,,,sáb 9 de oct de 21,"6.000,00",bici,,,SALDO,23,17337,,dom 17/oct 21,"1.500,00",mila con papas
,,pollo,,,mar 19 de oct de 21,"798,44",gas,,,,,,,lun 18/oct 21,"0,00",
sáb 9 de oct de 21,"2.000,00",almuerzo mama,,,,,,,,SALDO,,,,mar 19/oct 21,"1.640,00",furtas y tabaco
vie 8 de oct de 21,"800,00",pantaloon,,,,,,,,,,,,mié 20/oct 21,"100,00",pan
vie 15 de oct de 21,"500,00",luces bici,,,,,,,,TOTAL,"-17.726,25",,,jue 21/oct 21,"0,00",
,,,,,,,,,,,"-5794,25",,,vie 22/oct 21,"1.200,00",futbol y asado
capaz los encuentre,"3.000,00",???,,,,,,,,,,,,sáb 23/oct 21,"490,00","pna, mila, avena, papas"
vie 22 de oct de 21,"500,00",casino,,,,,,,,,,,,dom 24/oct 21,"0,00",
lun 25 de oct de 21,"500,00",pantaloon,,,,,,,,,,,,lun 25/oct 21,"250,00",futbol
,,,,,,,,,,,,,,mar 26/oct 21,"50,00",pan
TOTAL,"28.467,50",,,,TOTAL,"52.804,09",,,,,,,,mié 27/oct 21,"500,00",varios
,,,,,,,,,,,,,,jue 28/oct 21,"4.000,00",joda
,,,,,,,,,,,,,,vie 29/oct 21,"500,00",futbol
,,,,,,,,,,,,,,sáb 30/oct 21,"195,00",
,,,,,,,,,,,,,,dom 31/oct 21,"0,00",
