TARJETA,30000,"-75262,703333333",,,eze(?),164320,,,,,,,,GASTO DIARIO,,,INTMP,,,,,
ALQUILER EZE,150000,,,,,,,,,,"214876,7","96649,2",,mar 01/oct 24,"2.000,00",sube,mar 01/oct 24,"11,75",GASTOS,"594.332,80",dolar blue,porHora
auto,,,,,total,164320,7160,,,,,,,mié 02/oct 24,,,mié 02/oct 24,"131,53",PAGOS,"427.457,16",1250,40hsSem
,,,,,,,314320,,,,,,,jue 03/oct 24,"1.500,00",pan,jue 03/oct 24,"35,69",DIARIO,120900,minDolar,6
,,,,,,--->>>,164320,,,INGRESOS,,,vie 04/oct 24,"5.000,00",pelu,vie 04/oct 24,"5,37",costoVida,"1.142.689,96",914,,
GASTOS,,,,PAGOS,,,,FECHA,MONTO,CONCEPTO,,sáb 05/oct 24,"16.600,00",subeLomoPa,sáb 05/oct 24,,VERDADERO,GASTOS EXTRAS,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,,"11.574,92",Resto,,dom 06/oct 24,,,dom 06/oct 24,,"594.332,80",FECHA,MONTO,CONCEPTO
mar 1 de oct de 24,"105.262,70",mastercard,,,jue 10 de oct de 24,"240.000,00",alquler,,,mar 1 de oct de 24,"1.136.036,44",sueldo,,lun 07/oct 24,,,lun 07/oct 24,"57,29","263.137,16",,,
mar 1 de oct de 24,"178.201,10",visa,,,mar 1 de oct de 24,"10.148,55",prestamo meja,49,60,,"13.148,47",inversiones,,mar 08/oct 24,"2.000,00",sube,mar 08/oct 24,"12,61",120900,mar 1 de oct de 24,"21.280,00",polloHuevos
,,,,,mar 1 de oct de 24,"10.457,98",prestamo new,52,72,,,,,mié 09/oct 24,,,mié 09/oct 24,"10,62",total,dom 6 de oct de 24,"19.920,00",verduPolloPan
jue 3 de oct de 24,"60.000,00",marimba,,,mar 1 de oct de 24,"11.046,62",prestamo fibra,34,36,TOTAL,"1.160.759,83",,,jue 10/oct 24,"8.350,00",panQuraTe,jue 10/oct 24,"10,74",978370,sáb 12 de oct de 24,"28.700,00",super
mar 1 de oct de 24,"20.000,00",nata,,,mar 1 de oct de 24,"13.651,89",prestamoBsAS,34,36, ,,,,vie 11/oct 24,"8.595,99",quraSube,vie 11/oct 24,,sueldoDolar,sáb 12 de oct de 24,"16.419,00",super
lun 14 de oct de 24,"29.000,00",filtroAceite,,,lun 7 de oct de 24,"13.095,64",telefono,,,DIARIO,Días restantes,Días totales,,sáb 12/oct 24,,,sáb 12/oct 24,,783,sáb 12 de oct de 24,"20.510,00",limpiezaKiosk
,,,,,mié 2 de oct de 24,"25.000,00",gym,,,3900,1,31,,dom 13/oct 24,"9.900,00",subePizza,dom 13/oct 24,,,mié 16 de oct de 24,"20.880,00",verduPolloPan
,,,,,mié 2 de oct de 24,"28.500,00",Osde | dientes,,,,,30,,lun 14/oct 24,"1.300,00",aire,lun 14/oct 24,"8,94",sueldoDolar,vie 18 de oct de 24,"8.900,00",panPolloSal
,,,,,jue 10 de oct de 24,"10.620,00",agua,,,TOTAL,120900,GASTADO,,mar 15/oct 24,"5.200,00",mila,mar 15/oct 24,"8,18",porHora,lun 21 de oct de 24,"14.000,00",polloMila
