,,,,,,,,,,,,,,GASTO DIARIO,,
,,,,,,,,,,,,,,jue 01/sep 22,"3.376,00",gallego pelu
,"30010,23",,,,,,,,,,,,,vie 02/sep 22,"240,00",pan tomates
,,,,,,,,,,,,,,sáb 03/sep 22,"0,00",
,,,,,,,,,,,,,,dom 04/sep 22,"0,00",
GASTOS,,,,PAGOS,,,,INGRESOS,,,lun 05/sep 22,"350,00",futbol,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,mar 06/sep 22,"0,00",
jue 1 de sep de 22,"58.426,28",tarjeta,,,vie 9 de sep de 22,"31.800,00",alquler,,,,"14.457,85",Resto,,mié 07/sep 22,"0,00",
dom 21 de ago de 22,"15.358,05",préstamo,,,,,,,,lun 1 de ago de 22,"208.571,54",sueldo,,jue 08/sep 22,,
sáb 3 de sep de 22,"8.000,00",marim,,,jue 1 de sep de 22,"10.636,83",prestamo meja,,,mié 14 de sep de 22,"150.000,00",prestamo,,vie 09/sep 22,"2.050,00",lomo birra
jue 8 de sep de 22,"5.500,00",flete,,,jue 1 de sep de 22,"5.612,75",bici,,,TOTAL,"373.029,39",,,sáb 10/sep 22,"0,00",
lun 12 de sep de 22,"1.000,00",nafta,,,,,,,, ,,,,dom 11/sep 22,"0,00",
mié 14 de sep de 22,"40.000,00",meha fibra,,,jue 1 de sep de 22,"2.200,00",botines ta 6,,,DIARIO,Días restantes,Días totales,,lun 12/sep 22,"500,00",tabaco
lun 19 de sep de 22,"12.900,00",prote,,,,,,,,708,0,31,,mar 13/sep 22,,
lun 19 de sep de 22,"60.000,00",plazo fijo,,,jue 1 de sep de 22,"2.343,82",telefono,,,,,31,,mié 14/sep 22,"500,00",birra pan clavos
mar 20 de sep de 22,"5.000,00",pinchadura,,,jue 1 de sep de 22,"8.678,42",osde,,,TOTAL,11916,GASTADO,,jue 15/sep 22,"1.450,00",lomo birra
mar 20 de sep de 22,"2.000,00",juanman,,,jue 1 de sep de 22,"3.500,00",gym,,,RESTO,-10010,708,,vie 16/sep 22,"0,00",
jue 22 de sep de 22,"5.000,00",flete,,,lun 19 de sep de 22,"2.017,21",gas,,,SALDO,-10010,21926,,sáb 17/sep 22,"800,00",birras
sáb 24 de sep de 22,"3.540,00",pollo y pincha,,,lun 5 de sep de 22,"999,00",internet,,,,,,,dom 18/sep 22,,
lun 5 de sep de 22,"630,00",aceite,,,lun 19 de sep de 22,"3.246,72",luz,,,SALDO,,,,lun 19/sep 22,"450,00",futbol
mar 6 de sep de 22,"1.000,00",lavarropas,,,jue 1 de sep de 22,"11.188,91",prestamo new,,,,,,,mar 20/sep 22,,
mar 6 de sep de 22,"1.340,00",fruta verdura hu,,,vie 30 de sep de 22,"-2.000,00",juanma regreso,,,TOTAL,"43.511,97",,,mié 21/sep 22,,
mar 6 de sep de 22,"900,00",aceite,,,vie 30 de sep de 22,"10.000,00",fibra,,,,"29054,12",,,jue 22/sep 22,,
vie 9 de sep de 22,"2.480,00",pollo,,,,"1.950,00",(?),,,,,,,vie 23/sep 22,"1.440,00",ferreteria fotocopias birra
sáb 10 de sep de 22,"200,00",papas,,,,,,,,,,,,sáb 24/sep 22,"0,00",
mar 20 de sep de 22,"956,00",frutas huevos,,,,,,,,,,,,dom 25/sep 22,"1.450,00",
mar 20 de sep de 22,"1.344,00",milas,,,jue 1 de sep de 22,"-10.156,57",madre,,,,,,,lun 26/sep 22,"1.370,00",futbol asado
TOTAL,"225.574,33",,,,TOTAL,"82.017,09",,,,,,,,mar 27/sep 22,"300,00",frutas
,,,,,,,,,,,,,,mié 28/sep 22,"1.850,00",lomo birra
,0,,,,madre,"10156,57",,,,SALDO BANCO,"41561,47","69561,47",,jue 29/sep 22,"1.400,00",nafta
,,"-10156,57",,,,,,,,EFECTIVO,1950,,,vie 30/sep 22,"4.400,00",cena gordo facu
GASTOS TARJETA,,,,GASTOS TARJETA EXC,,,,TOTAL,"43511,47",,,sáb 01/oct 22,,,,
FECHA,MONTO,CONCEPTO,,,FECHA,MONTO,CONCEPTO,,DIF,DINERO-CALCULO,"-0,499999999912689",,,,,
mié 27 de jul de 22,"6.400,00",parabrisas,,,dom 28 de ago de 22,"1.369,00",pedidoya,,,,,,,,,
mié 27 de jul de 22,"1.200,00",pedidosya,,,sáb 3 de sep de 22,"1.177,00",pedidoya,,,,,,,,,
vie 29 de jul de 22,"1.200,00",pedidosya,,,lun 5 de sep de 22,"1.079,00",pedidoya,,,,,,,,,
vie 29 de jul de 22,"1.500,00",nafta,,,mié 7 de sep de 22,"1.251,00",pedidoya,,,,,,,,,
mar 2 de ago de 22,"1.559,00",pedidosya,,,dom 11 de sep de 22,"1.500,00",helado,,,,,,,,,
sáb 6 de ago de 22,"2.399,00",pedidosya,,,dom 11 de sep de 22,"-600,00",mitihealdo,,,,,,,,,
mar 9 de ago de 22,"5.139,95",super,,,sáb 17 de sep de 22,"1.257,00",pedidoya,,,,,,,,,
mié 10 de ago de 22,"1.629,00",pedidosya,,,lun 19 de sep de 22,"1.550,00",pedidoya,,,,,,,,,
vie 12 de ago de 22,"3.629,00",pedidosya,,,vie 23 de sep de 22,"1.449,00",pedidoya,,,,,,,,,
lun 15 de ago de 22,"1.770,00",nafta,,,,,,,,,,,,,,
sáb 20 de ago de 22,"2.949,00",pedidosya,,,,,,,,,,,,,,
lun 22 de ago de 22,"1.600,00",pedidosya,,,,,,,,,,,,,,
vie 2 de sep de 22,"2.594,36",pedidosya,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
sáb 20 de ago de 22,"6.730,00",regalo fede,,,,,,,,,,,,,,
uno/seis,"2.165,00",borregos,,,,,,,,,,,,,,
cuatro/nueve,"3.324,00",calefactor,,,,,,,,,,,,,,
dos/doce,"1.631,16",jetsmart,,,,,,,,,,,,,,
tres/seis,"985,00",chromecast,,,,,,,,,,,,,,
dos/seis,"1.527,40",boxers,,,,,,,,,,,,,,
dos/tres,"3.777,00",joggineta,,,,,,,,,,,,,,
tres/doce,"970,41",GAFAS,,,,,,,,,,,,,,
tres/seis,"3.747,00",PARLANTE,,,,,,,,,,,,,,
TOTAL,"58.426,28",,,,TOTAL,"10.032,00",,,,,,,,,,
,,,,,,,,,,,,,,,,
,"30010,23",,,,,,,,,,,,,,,
,"28416,05",,,,,,,,,,,,,,,
